url,nombre,precio,descripcion,unidad,precio_unidad
https://www.alsuper.com/producto/arroz-super-extra-374296,Productos | Alsuper,90.0,Arroz Super Extra  Verde Valle 2 kg,2 kg,45.00/kg
https://www.alsuper.com/producto/arroz-379848,Arroz   Cazerola 907 g,23.9,Arroz   Cazerola 907 g,907 g,0.03/g
https://www.alsuper.com/producto/arroz-extra-404441,Arroz Extra    Mimarca 906 g,17.9,Arroz Extra    Mimarca 906 g,906 g,0.02/g
https://www.alsuper.com/producto/arroz-super-extra-406506,Arroz Super Extra   Mybrand 906 g,24.9,Arroz Super Extra   Mybrand 906 g,906 g,0.03/g
https://www.alsuper.com/producto/arroz-instantaneo-403429,Arroz blanco Instantaneo  Knorr 155 g,34.9,Arroz blanco Instantaneo  Knorr 155 g,155 g,0.23/g
https://www.alsuper.com/producto/aceite-vegetal-329635,Aceite Vegetal  Mimarca 800 ml,27.9,Aceite Vegetal  Mimarca 800 ml,800 ml,0.03/ml
https://www.alsuper.com/producto/aceite-vegetal-356595,Aceite Vegetal  Kartamus 900 ml,36.9,Aceite Vegetal  Kartamus 900 ml,900 ml,0.04/ml
https://www.alsuper.com/producto/aceite-vegetal-383758,Aceite Vegetal de canola  Capullo 400 ml,25.9,Aceite Vegetal de canola  Capullo 400 ml,400 ml,0.06/ml
https://www.alsuper.com/producto/aceite-vegetal-449166,Aceite Vegetal  Ave 850 ml,34.9,Aceite Vegetal  Ave 850 ml,850 ml,0.04/ml
https://www.alsuper.com/producto/aceite-vegetal-comestible-472840,Aceite Vegetal Comestible   123 750 ml,31.9,Aceite Vegetal Comestible   123 750 ml,750 ml,0.04/ml
https://www.alsuper.com/producto/leche-entera-uht-451075,Leche Entera Uht   Mybrand    1 Lt,26.9,Leche Entera Uht   Mybrand    1 Lt,1 l,26.90/l
https://www.alsuper.com/producto/leche-uht-entera-premium-424114,Leche Uht Entera Premium   Zaragoza    1 Lt,28.9,Leche Uht Entera Premium   Zaragoza    1 Lt,1 l,28.90/l
https://www.alsuper.com/producto/leche-uht-entera-396619,Leche Uht Entera         Santa Clara    1 Lt,29.9,Leche Uht Entera         Santa Clara    1 Lt,1 l,29.90/l
https://www.alsuper.com/producto/leche-uht-entera-426702,Leche Uht Entera   Borden    1 Lt,27.9,Leche Uht Entera   Borden    1 Lt,1 l,27.90/l
https://www.alsuper.com/producto/leche-entera-uht-467449,Leche Entera Uht Organica  Lala 960 Ml,43.9,Leche Entera Uht Organica  Lala 960 Ml,960 ml,0.05/ml
https://www.alsuper.com/producto/%28t%29pan-blanco-361791,Pan Blanco   Mybrand 680 g,44.9,Pan Blanco   Mybrand 680 g,680 g,0.07/g
https://www.alsuper.com/producto/%28t%29pan-blanco-perfect-crafted-435449,Pan Blanco Perfect Crafted    Nature'S Own 624 g,71.9,Pan Blanco Perfect Crafted    Nature'S Own 624 g,624 g,0.12/g
https://www.alsuper.com/producto/pan-blanco--paquete-495977,Productos | Alsuper,90.0,Pan Blanco  Paq    Bimbo 620 g,620 g,0.15/g
https://www.alsuper.com/producto/azucar-estandar-363113,Azucar Estandar  Mimarca 907 g,27.9,Azucar Estandar  Mimarca 907 g,907 g,0.03/g
https://www.alsuper.com/producto/azucar-organica-365405,Azucar Organica   Aires De Campo 1 Kg,112.9,Azucar Organica   Aires De Campo 1 Kg,1 kg,112.90/kg
https://www.alsuper.com/producto/azucar-refinada-404071,Azucar Refinada  Zulka 1 kg,39.9,Azucar Refinada  Zulka 1 kg,1 kg,39.90/kg
https://www.alsuper.com/producto/cafe-soluble-mezclado-con-azucar-135296,Cafe Soluble    El Marino 100 g,54.9,Cafe Soluble    El Marino 100 g,100 g,0.55/g
https://www.alsuper.com/producto/cafe-soluble-337987,Cafe Soluble    Oro 100 g,69.9,Cafe Soluble    Oro 100 g,100 g,0.70/g
https://www.alsuper.com/producto/cafe-soluble-351220,Cafe Soluble Clasico  Nescafe 200 g,149.9,Cafe Soluble Clasico  Nescafe 200 g,200 g,0.75/g
https://www.alsuper.com/producto/cafe--instantaneo-.-37629,Productos | Alsuper,90.0,Cafe Instantaneo    Folgers 226 G,226 g,0.40/g
https://www.alsuper.com/producto/cafe-tostado-y-molido-402366,Cafe Tostado Y Molido Gourmet  Combate 250 Gr,114.9,Cafe Tostado Y Molido Gourmet  Combate 250 Gr,250 g,0.46/g
https://www.alsuper.com/producto/huevo-blanco-con-30-653,Huevo Blanco con 30  Bachoco 1 Cartera,99.9,Huevo Blanco con 30  Bachoco 1 Cartera,,
https://www.alsuper.com/producto/huevo-blanco-con-30-467225,Huevo blanco con 30  Huevissimo 1 cartera,93.9,Huevo blanco con 30  Huevissimo 1 cartera,,
https://www.alsuper.com/producto/huevo-blanco-con-30-394553,Huevo blanco con 30  Huizache 1 cartera,89.9,Huevo blanco con 30  Huizache 1 cartera,,
https://www.alsuper.com/producto/huevo-blanco-con-30-410581,Huevo blanco con 30  Mybrand 1 cartera,89.9,Huevo blanco con 30  Mybrand 1 cartera,,
https://www.alsuper.com/producto/huevo-blanco-con-30-323673,Huevo blanco con 30  San Juan 1 cartera,99.9,Huevo blanco con 30  San Juan 1 cartera,,
https://www.alsuper.com/producto/harina-de-trigo-pasta-fresca-411665,Harina De Trigo Pasta Fresca  5 Stagioni 1 Kg,104.9,Harina De Trigo Pasta Fresca  5 Stagioni 1 Kg,1 kg,104.90/kg
https://www.alsuper.com/producto/%28t%29harina-fina-de-trigo-5131735,Harina Fina De Trigo  El Globo 1 kg,15.9,Harina Fina De Trigo  El Globo 1 kg,1 kg,15.90/kg
https://www.alsuper.com/producto/harina-de-trigo-440582,Harina De Trigo   Bobs Red Mill    5 Lb,329.9,Harina De Trigo   Bobs Red Mill    5 Lb,5 l,65.98/l
https://www.alsuper.com/producto/harina-de-trigo-438821,Harina De Trigo   Mimarca 1 kg,15.9,Harina De Trigo   Mimarca 1 kg,1 kg,15.90/kg
https://www.alsuper.com/producto/harina-de-trigo-323310,Harina De Trigo  Selecta 1 kg,15.9,Harina De Trigo  Selecta 1 kg,1 kg,15.90/kg
https://www.alsuper.com/producto/papa-cambray-47,Productos | Alsuper,90.0,Papa Cambray   Kg,,
https://www.alsuper.com/producto/cebolla-blanca-924,Cebolla Blanca Premium  Alsuper Por Kg,18.9,Cebolla Blanca Premium  Alsuper Por Kg,,
