url,nombre,precio,descripcion,unidad,precio_unidad
https://www.alvi.cl/product/cafe-instantaneo-tradicion-lata-2,Café instantáneo tradición lata,7190.0,Café instantáneo Nescafé tradición lata 170 g,170 g,42.29/g
https://www.alvi.cl/product/cafe-instantaneo-institucional,Café instantáneo institucional,13090.0,Café instantáneo institucional,400 g,32.73/g
https://www.alvi.cl/product/cafe-instantaneo-clasico-lata,Café instantáneo clásico lata,4990.0,Café instantáneo Monterrey clásico lata 170 g,170 g,29.35/g
https://www.alvi.cl/product/cafe-liofilizado-frasco,Café instantáneo liofilizado frasco,7350.0,Café Cruzeiro liofilizado frasco 170 g,170 g,43.24/g
https://www.alvi.cl/product/papa-duquesa-cong-frutos-del-maipo-1-kg,Papas duquesa congeladas,4710.0,Papas duquesa congeladas Frutos del Maipo 1 Kg,1 Kg,4.71/g
https://www.alvi.cl/product/pan-molde-blanco-amada-masa-500-gr,Pan de molde blanco,2350.0,Pan de molde blanco,500 g,4.70/g
https://www.alvi.cl/product/pan-molde-integral-xl-ideal-750gr,Pan de molde integral XL,2890.0,Pan de molde integral XL,750 g,3.85/g
https://www.alvi.cl/product/pan-molde-blanco-xl-cena-740-gr,Pan molde blanco XL,1890.0,Pan molde blanco XL,,
https://www.alvi.cl/product/pan-molde-sandw-blanco-guillermina-800-g,Pan molde sandwich blanco,2300.0,Pan molde sandwich blanco,800 g,2.88/g
https://www.alvi.cl/product/pan-integral-bauducco-390gr,Pan de molde integral,1850.0,Pan de molde integral,,
https://www.alvi.cl/product/bebida-original-desechable,Bebida original desechable,1840.0,Bebida original desechable,1.5 Litro,1.23/ml
https://www.alvi.cl/product/bebida-desechable-9,Bebida desechable,1350.0,Bebida desechable,1.5 Litro,0.90/ml
https://www.alvi.cl/product/bebida-desechable-29,Bebida desechable,2290.0,Bebida desechable,3 Litro,0.76/ml
https://www.alvi.cl/product/bebida-desechable-6,Bebida desechable,1350.0,Bebida desechable,1.5 Litro,0.90/ml
https://www.alvi.cl/product/bebida-desechable-4,Bebida desechable,1350.0,Bebida desechable,1.5 Litro,0.90/ml
https://www.alvi.cl/product/arroz-g2-grano-largo-ancho-bolsa,Arroz G2 grano largo ancho bolsa,1690.0,Arroz Nuestra Cocina G2 grano largo ancho bolsa 1 Kg,Arroz G2 grano largo ancho bol...,845.00/g
https://www.alvi.cl/product/arroz-g2-gran-seleccion-largo,Arroz G2 gran selección largo,1690.0,Arroz Tucapel G2 gran Selección largo 1 Kg,Arroz G2 gran selección largo,845.00/g
https://www.alvi.cl/product/arroz-largo-delgado-grado-2,Arroz G2 largo delgado,1170.0,Arroz Merkat largo delgado grado 2 1 Kg,Arroz G2 largo delgado,0.58/ml
https://www.alvi.cl/product/arroz-g1-largo-ancho-bolsa,Arroz G1 largo ancho bolsa,2190.0,Arroz Miraflores G1 largo ancho bolsa 1 Kg,Arroz G1 largo ancho bolsa,2.19/ml
https://www.alvi.cl/product/arroz-g2-largo-delgado-aruba-900-gr,Arroz grano largo delgado grado 2 900G,1000.0,Arroz grano largo delgado grado 2 900G,900 g,1.11/g
https://www.alvi.cl/product/huevos-blanco-grande,Huevos blanco grande,3050.0,Huevos blanco grande,,
https://www.alvi.cl/product/huevos-grande-blanco,Huevos blanco grande,,Huevos grande blanco,,
https://www.alvi.cl/product/huevo-primera-color-la-herradura-30-un,Huevo primera color,,Huevo primera color La Herradura 30 un,,
https://www.alvi.cl/product/pechuga-deshuesada-pollo-iqf,Pechuga deshuesada de pollo congelado,,Pechuga deshuesada pollo iqf,4.5 Kg,
https://www.alvi.cl/product/pechuga-deshuesada-congelada,Pechuga deshuesada de pollo congelada,31990.0,Pechuga deshuesada congelada,4.5 Kg,7.11/g
https://www.alvi.cl/product/leche-entera-natural-sin-tapa,Leche entera natural sin tapa,1210.0,Leche entera natural sin tapa,1 Litro,1.21/ml
https://www.alvi.cl/product/leche-entera-natural-2,Leche entera natural,990.0,Leche entera natural,1 Litro,0.99/ml
https://www.alvi.cl/product/leche-entera-tetra-los-peumos-1lt,Leche entera,,Leche entera Los Peumos 1 L,1 Litro,
https://www.alvi.cl/product/leche-entera-natural-3,Leche entera natural,1000.0,Leche entera natural,1 Litro,1.00/ml
https://www.alvi.cl/product/leche-entera-sin-lactosa-con-tapa,Leche entera sin lactosa con tapa,1470.0,Leche entera sin lactosa con tapa,1 Litro,1.47/ml
https://www.alvi.cl/product/cerveza-extra-botella,Cerveza extra botella,950.0,Cerveza extra botella,330 ml,2.88/ml
https://www.alvi.cl/product/cerveza-budweiser-473-cc-lata,Cerveza lata,850.0,Cerveza lata,473 ml,1.80/ml
https://www.alvi.cl/product/cerveza-botella,Cerveza botella,830.0,Cerveza botella,330 ml,2.52/ml
https://www.alvi.cl/product/cerveza-stella-artois-330-cc-bot-2,Cerveza lager botella,830.0,"Cerveza Stella Artois, botella 330 cc",330 ml,2.52/ml
https://www.alvi.cl/product/cerveza-royal-guard-470-cc-lata,Cerveza lata,810.0,Cerveza lata,470 ml,1.72/ml
https://www.alvi.cl/product/pasta-spaghetti-n-5-3,Pasta spaghetti n°5,450.0,Pasta spaghetti N°5 Aconcagua 400 g,400 g,1.12/g
