url,nombre,precio,descripcion,unidad,precio_unidad
https://mercado.carrefour.com.br/arroz-branco-longofino-tipo-1-camil-todo-dia-5kg-115789/p,Arroz Branco Longo-fino Tipo 1 Camil Todo Dia 5Kg - Carrefour,,"O arroz branco Tipo 1 Camil faz parte da Linha Todo Dia, perfeita para aquelas receitas deliciosas do cotidiano. É saudável, natural e nutritiva. Ideal para quem busca diariamente inovar na cozinha sem perder o sabor caseiro, a mesa farta e o prazer de compartilhar momentos juntos com quem amamos. Boa fonte de amido, que fornece energia para as atividades corridas do dia a dia, o arroz branco tem baixo teor de gordura e é um alimento de fácil e rápida digestão. Você também sabia que, além de não conter glúten e poder ser consumido por pessoas celíacas, esse tipo de arroz tem proteína em sua composição? A proteína é um nutriente essencial para a construção e a manutenção dos músculos! Compre o seu aqui no Carrefour e tenha sempre uma refeição saborosa e nutritiva!",5 kg,
https://mercado.carrefour.com.br/arroz-solito-tipo-1-5kg-962740/p,Arroz Solito Tipo 1 5Kg - Carrefour,21.85,"Rico em carboidratos e vitaminas, o arroz é o alimento mais consumido no mundo. E há mais de 60 anos o Arroz Solito leva qualidade e sabor até você. Seu processo de beneficiamento passa por rigorosos controles de qualidade, com tecnologia de ponta e sem nenhum contato manual. Isso garante que só o melhor do arroz chegue até a sua mesa. Hoje, a Solito Alimentos é considerada uma das maiores empresas de alimentos do Estado de São Paulo. Aproveite a oportunidade e leve para casa um arroz saboroso e de muita qualidade. Compre agora mesmo aqui no Carrefour o Arroz Branco Solito Tipo 1.",5 kg,4.37/kg
https://mercado.carrefour.com.br/arroz-branco-longofino-tipo-1-tio-joao-2kg-115657/p,Arroz Branco Longo-fino Tipo 1 Tio João 2Kg - Carrefour,15.29,,2 kg,7.64/kg
https://mercado.carrefour.com.br/arroz-bom-no-prato-5-kg-branco-tipo-1-6574050/p,Arroz Bom no prato 5 kg branco Tipo 1 - Carrefour,17.98,Arroz Bom no prato 5 kg branco Tipo 1,5 kg,3.60/kg
https://mercado.carrefour.com.br/arroz-branco-longofino-tipo-1-graos-selecionados-carrefour-5kg-239887/p,Arroz Branco Longo-fino Tipo 1 Grãos Selecionados Carrefour 5Kg - Carrefour,21.69,,1 g,21.69/g
https://mercado.carrefour.com.br/cafe-soluvel-lor-intense-40g-3102343/p,Cafe Solúvel L'Or Intense 40g - Carrefour,13.55,Cafe Solúvel L'Or Intense 40g,40 g,0.34/g
https://mercado.carrefour.com.br/cafe-starbucks-pike-place-roast-torrado-e-moido-250g-5688450/p,Café Starbucks Pike Place Roast Torrado e Moído 250g - Carrefour,55.35,"Caf&eacute; torrado e mo&iacute;do Starbucks, com notas suaves de chocolate.&nbsp;",250 g,0.22/g
https://mercado.carrefour.com.br/cafe-melitta-soluvel-extra-forte-sache-com-40g-5370280/p,Cafe Melitta Soluvel Extra Forte Sachê Com 40g - Carrefour,7.59,Cafe Melitta Soluvel Extra Forte Sachê Com 40g,40 g,0.19/g
https://mercado.carrefour.com.br/cafe-torrado-e-moido-do-ponto-tradicional-vacuo-500-g-4416066/p,Café Torrado e Moído Do Ponto Tradicional Vácuo 500 g - Carrefour,41.59,"Você sabia que o café auxilia na depressão e até rejuvenesce as células do corpo humano?Então, curta a vida e tome um delicioso café, como o Café em Pó a Vácuo, do Café do Ponto. Ele é aquele produto que não pode faltar na sua casa, é perfeito para ser degustado quando bate aquela vontade inesperada de café, seja sozinho ou mesmo acompanhado. Possui sabor suave e foi fabricado das plantas arábica e robusta.",500 g,0.08/g
https://mercado.carrefour.com.br/cafe-soluvel-tradicional-carrefour-sc-50g-6459153/p,Café Solúvel Tradicional Carrefour SC 50g - Carrefour,,O sabor que você e sua família merece ter em casa!,50 g,
https://mercado.carrefour.com.br/pao-de-forma-panco-premium-500g-241970/p,Pão de Forma Panco Premium 500g - Carrefour,8.78,,500 g,0.02/g
https://mercado.carrefour.com.br/pao-de-forma-wickbold-5-zeros-viva-integralmente-400g-3148211/p,Pão de Forma Wickbold 5 Zeros Viva Integralmente 400g - Carrefour,9.15,Pão de Forma Wickbold 5 Zeros Viva Integralmente 400g,400 g,0.02/g
https://mercado.carrefour.com.br/pao-de-forma-sem-casca-pullman-450g-9767312/p,Pão de Forma sem Casca Pullman 450g - Carrefour,12.79,Ideal para quem busca por praticidade. Além de ser muito utilizado para o preparo de lasanhas e tortas.,450 g,0.03/g
https://mercado.carrefour.com.br/pao-integral-nutrella-450g-9498370/p,Pão Integral Nutrella 450g - Carrefour,16.64,"100% sabor, aroma e textura. E assim como você, é cheia de vontades. Satisfazer as suas. A principal delas? Deliciosamente nutritiva, esta receita é cheia de saúde! O pão é feito com farinha totalmente integral, aquela que preserva vitaminas, proteínas, minerais e fibras dos grãos. Uma farinha 100% saudável e 100% alto astral! Acrescentamos a ela sementes poderosas como as de girassol, de linhaça e o gergelim, que além de",450 g,0.04/g
https://mercado.carrefour.com.br/pao-de-forma-seven-boys-450g-1109740/p,Pão de Forma Seven Boys 450g - Carrefour,10.15,"Os tradicionais Pães de Sanduíche Seven Boys são consumidos por quem procura sabor, leveza, maciez e acima de tudo qualidade. Perfeitos para o café da manhã ou lanche da tarde. Livre de gorduras trans. A Seven Boys foi fundada em 1950. São anos fazendo parte da vida de diversas famílias, estando presente nos melhores momentos das crianças de todas as idades! Com uma linha de produtos bem diversificada, a Seven Boys fez parte do passado e continua fazendo parte do presente de muitos consumidores. Ficou com água na boca? Então aproveite a oportunidade e compre o pão de forma Seven Boys aqui no Carrefour!",450 g,0.02/g
https://mercado.carrefour.com.br/refrigerante-cocacola-garrafa-2-l-5761719/p,Refrigerante Coca-Cola Garrafa 2 L - Carrefour,11.49,Refrigerante de Cola Original Coca-Cola Garrafa 2l,2 l,5.75/l
https://mercado.carrefour.com.br/refrigerante-guarana-antarctica-sem-acucar-garrafa-2l-156205/p,Refrigerante Guaraná Antarctica Sem Açúcar Garrafa 2L - Carrefour,9.39,"Guaraná Antarctica Sem Açúcar : Guaraná Antarctica Sem Açúcar é o mesmo sabor original do Brasil agora feito sem adição de açúcares. O refrigerante que é coisa nossa, é óbvio que combina com tudo. Da salada até o lanchão, sem exceções. Sabe o que é o melhor? Ele refrexcaaaa igualzinho ao tradicional.",2 l,4.70/l
