url,nombre,precio,descripcion,unidad,precio_unidad
https://secure.carulla.com/huevo-aa-rojo-30und-pet-744836/p,Huevos AA KIKES rojo pet (30  und),,Lleva a casa fácil y rápido Huevos AA KIKES rojo pet (30  und). Encuentra la mejor garantía. Compra seguro en carulla.com,30 und,
https://www.carulla.com/huevo-rojo-aa-x-30-unidades-120829/p,Huevos AA SANTA REYES rojo (30  und),25500.0,Lleva a casa fácil y rápido Huevos AA SANTA REYES rojo (30  und). Encuentra la mejor garantía. Compra seguro en carulla.com,30 und,850.00/und
https://www.carulla.com/huevo-aa-rojo-x-12-unidades-315269/p,Huevos AA SANTA ANITA rojo (12  und),9150.0,Lleva a casa fácil y rápido Huevos AA SANTA ANITA rojo (12  und). Encuentra la mejor garantía. Compra seguro en carulla.com,12 und,762.50/und
https://www.carulla.com/huevo-oro-de-12und-aa-rosado-huevos-oro-12-und-494306/p,Huevos AA HUEVOS ORO rosado (12  und),10500.0,Lleva a casa fácil y rápido Huevos AA HUEVOS ORO rosado (12  und). Encuentra la mejor garantía. Compra seguro en carulla.com,12 und,875.00/und
https://www.carulla.com/huevo-rojo-aa-15und-cryovac-napoles-15-und-315309/p,Huevos AA NAPOLES rojo cryovac (15  und),13500.0,Lleva a casa fácil y rápido Huevos AA NAPOLES rojo cryovac (15  und). Encuentra la mejor garantía. Compra seguro en carulla.com,15 und,900.00/und
https://www.carulla.com/gallina-feliz?srsltid=AfmBOopXDY7hGWpePqDjAe3yqae-1WGGTosM_pL5gwuq_NrgihKflkhb,,,"Lleva tus productos de GALLINA FELIZ en carulla.com y disfruta calidad, variedad y grandes precios. ¡Compra fácil, seguro y recibe en casa!",,
https://www.carulla.com/arroz-diana-5000-gr-498671/p,Arroz DIANA blanco vitamor (5000  gr),23500.0,Lleva a casa fácil y rápido Arroz DIANA blanco vitamor (5000  gr). Encuentra la mejor garantía. Compra seguro en carulla.com,5000 gr,4.70/gr
https://www.carulla.com/arroz-roa-1-kilo-477377/p,Arroz ROA blanco fortiplus (1000  gr),5000.0,Lleva a casa fácil y rápido Arroz ROA blanco fortiplus (1000  gr). Encuentra la mejor garantía. Compra seguro en carulla.com,1000 gr,5.00/gr
https://www.carulla.com/arroz-882120/p,No pudimos encontrar esta página,,,,
https://www.carulla.com/arroz-super-premium-arroz-sonora-premium-1000-gr-3147998/p,Arroz Blanco ARROZ SONORA SUPER PREMIUM Super Premium (1000  gr),9700.0,Lleva a casa fácil y rápido Arroz Blanco ARROZ SONORA SUPER PREMIUM Super Premium (1000  gr). Encuentra la mejor garantía. Compra seguro en carulla.com,1000 gr,9.70/gr
