url,nombre,precio,descripcion,unidad,precio_unidad
https://www.chedraui.com.mx/arroz-schettino-verde-900g-3008386/p,Arroz Schettino Verde 900gArroz Schettino Verde 900g,25.0,"Arroz Grano Largo, color blanco libre de olore",900 g,0.03/g
https://www.chedraui.com.mx/arroz-verde-valle-super-extra-900g-3008380/p,Arroz Verde Valle Super Extra 900gArroz Verde Valle Super Extra 900g,36.5,"Consiga el arroz más blanco, entero y esponjadito con el Arroz Súper Extra Verde Valle. Prepárelo como usted prefiera y dele ese sazón especial, el Arroz Super Extra Verde Valle es ideal para cualquier tipo de preparación. Le tomará solo 25 minutos prepararlo y tenerlo listo para deleitar su paladar. Es un arroz de la variedad grano largo y siendo ideal para todo tipo de platillos, es el más común en México y su calidad es “SUPER EXTRA” ya que contiene más del 95% de granos enteros.",900 g,0.04/g
https://www.chedraui.com.mx/arroz-sos-super-extra-rojo-900g-3008327/p,Arroz SOS Super Extra Rojo 900gArroz SOS Super Extra Rojo 900g,33.0,"Arroz Grano Largo, color blanco libre de olore",900 g,0.04/g
https://www.chedraui.com.mx/arroz-super-extra-chedraui-900g-3250655/p,Arroz Super Extra Chedraui 900gArroz Super Extra Chedraui 900g,20.0,"El arroz es considerado un alimento básico en México por su alta aportación en nutrientes, que se ocupa para acompañar diversos platillos.",900 g,0.02/g
https://www.chedraui.com.mx/arroz-la-merced-super-extra-900g-3247692/p,Arroz La Merced Super Extra 900gArroz La Merced Super Extra 900g,23.5,Arroz Precocido La Merced es ideal para comer en el desayuno y comida debido a su alto contenido de nutrientes. Excelente como guarnición para tus platillos favoritos y en el tradicional arroz con leche.,900 g,0.03/g
https://www.chedraui.com.mx/aceite-vegetal-nutrioli-antigoteo-puro-de-soya-700ml-3738492/p,Aceite Vegetal Nutrioli Antigoteo Puro de Soya 700mlAceite Vegetal Nutrioli Antigoteo Puro de Soya 700ml,38.9,"Nutrioli Antigoteo, con tapa dosificadora para mayor control y limpieza, es un aceite para cocinar 100% puro de soya que cuida tu salud, ya que cuenta con Omegas 3, 6 y 9, que ayudan a elevar tus niveles de colesterol bueno y reducir el malo, por su origen vegetal no contiene colesterol, es claro y su consistencia es muy ligera, además, contiene vitamina E, ideal para cocinar de manera práctica y sencilla",700 ml,0.06/ml
https://www.chedraui.com.mx/aceite-chedraui-mixto-800ml-3717376/p,Aceite Chedraui Mixto 800mlAceite Chedraui Mixto 800ml,28.0,"Prepara tu despensa en unos cuantos clics y descubre nuestra gran variedad de productos. ¡No salgas de casa, nosotros te llevamos el súper!",800 ml,0.04/ml
https://www.chedraui.com.mx/aceite-patrona-mixto-1-l-3009886/p,Aceite Patrona Mixto 1 LAceite Patrona Mixto 1 L,72.5,Mezcla saludable de aceites vegetales insaturados,1 l,72.50/l
https://www.chedraui.com.mx/aceite-pam-original-170g-3010037/p,Aceite Pam Original 170gAceite Pam Original 170g,72.0,PAM Original Aceite comestible puro de Canola en aerosol te ayuda a cocinar con 3 veces menos grasa y rinde 3 veces más vs los aceites líquidos.,170 g,0.42/g
https://www.chedraui.com.mx/aceite-123-vegetal-123-1l-3009948/p,Aceite 123 Vegetal 123 1LAceite 123 Vegetal 123 1L,37.0,"Aceite Vegetal comestible 123,es elaborado por una empresa 100% mexicana,  mezcla lo mejor de dos semillas Girasol y Canola, lo que hace que sus alimentos sean cocinados de una manera saludable , tambien se puede consumir como complemento en aderezos para ensaladas si asi lo prefieres.",1 l,37.00/l
https://www.chedraui.com.mx/leche-fresca-lala-entera-1l-3012021/p,Leche Fresca Lala Entera 1LLeche Fresca Lala Entera 1L,29.0,"La Leche Fresca Lala Entera acompañará tus mañanas gracias a su gran sabor y cremosidad. Complementa la alimentación de tu familia con una leche fresca y 100% pura de vaca, sin conservadores por ser pasteurizada. ¡Prepara tus recetas favoritas! Agrega a tu carrito de compras tus productos y aprovecha el servicio de entrega a domicilio que tenemos para ti.",1 l,29.00/l
https://www.chedraui.com.mx/leche-alpura-selecta-entera-1l-3019413/p,Leche Alpura Selecta Entera 1LLeche Alpura Selecta Entera 1L,36.0,"Selecta de alpura es el resultado de nuestra experiencia y pasión por la leche. Calidad que se distingue por su delicioso sabor, cremosidad y consistencia.",1 l,36.00/l
https://www.chedraui.com.mx/leche-alpura-clasica-4-piezas-de-1l-cu-3713405/p,Leche Alpura Clásica 4 Piezas de 1L c/uLeche Alpura Clásica 4 Piezas de 1L c/u,120.0,"La leche Alpura Clásica es fundamental en tu despensa ya que contiene proteína propia de la leche que te da la energía para comenzar tu día y que ayuda al desarrollo de músculos. Además de ser una fuente de calcio que ayuda a el crecimiento de dientes definitivos en los niños y da fortaleza ósea en adolescentes y adultos. También contiene Vitaminas A y D que ayudan a llevar mejor el oxígeno a la sangre y a que el calcio se absorbido de mejor manera por los huesos y músculos. Disfruta de este super alimento natural, ¡100% leche de vaca!",1 l,120.00/l
https://www.chedraui.com.mx/leche-santa-clara-entera-1l-3019421/p,Leche Santa Clara Entera 1LLeche Santa Clara Entera 1L,33.0,"Disfruta del sabor de la leche entera Santa Clara, elaborada con leche 100% pura de vaca. Empaque tetrapack de 1lt.",1 l,33.00/l
https://www.chedraui.com.mx/leche-barista-bove-entera-946ml-3804250/p,Leche Barista Bové Entera 946mlLeche Barista Bové Entera 946ml,35.5,"Es un producto de alta calidad y gran sabor, Ideal para hacer preparación de café con un exquisito sabor cremoso con el cuerpo y textura deseados igual que en una cafeteria.",946 ml,0.04/ml
https://www.chedraui.com.mx/pan-bimbo-blanco-620g-3817240/p,Pan Bimbo Blanco 620gPan Bimbo Blanco 620g,52.0,"Es una opción ideal para preparar un sándwich en cualquier momento del día, ya sea para ti o para compartir con toda la familia, puedes combinarlo con tus ingredientes favoritos y así disfrutar de tus diferentes recetas y creaciones únicas.

Ahora con una rebanada más grande y corteza brillada. Sin jarabe de alta fructosa.

Hazlo como quieras. haz sándwich.",620 g,0.08/g
https://www.chedraui.com.mx/pan-butter-krust-blanco-567g-3851928/p,Pan Butter Krust Blanco 567gPan Butter Krust Blanco 567g,47.5,¡Calidad y frescura en cada bocado! Encuentra todo lo que necesitas en tu tienda online Chedraui.com.mx. Recibe en casa gracias al servicio a domicilio. Descarga la app.,567 g,0.08/g
https://www.chedraui.com.mx/pan-natures-own-blanco-624g-3750236/p,Pan Natures Own Blanco 624gPan Natures Own Blanco 624g,77.0,"Prepara tu despensa en unos cuantos clics y descubre nuestra gran variedad de productos. ¡No salgas de casa, nosotros te llevamos el súper!",624 g,0.12/g
https://www.chedraui.com.mx/pan-blanco-de-caja-selecto-675g-3105808/p,Pan Blanco de Caja Selecto 675gPan Blanco de Caja Selecto 675g,13.9,"Delicioso pan de caja fresco elaborado con harina de trigo. Tú repostería favorita a la puerta de tu casa, gran variedad de pan solo en Chedraui.com.mx",675 g,0.02/g
https://www.chedraui.com.mx/pan-wonder-super-blanco-ajonjoli-567g-3271695/p,Pan Wonder Super Blanco Ajonjoli 567gPan Wonder Super Blanco Ajonjoli 567g,59.0,"Sándwich, rollitos de jamón e incluso empanadas son algunas de las ideas para preparar deliciosos platillos con la ayuda de tu principal ingrediente, Pan integral Wonder con Ajonjolí, ¡Pruébalo!",567 g,0.10/g
https://www.chedraui.com.mx/azucar-chedraui-estandar-900g-3793492/p,Azúcar Chedraui Estándar 900gAzúcar Chedraui Estándar 900g,28.0,"Prepara tu despensa en unos cuantos clics y descubre nuestra gran variedad de productos. ¡No salgas de casa, nosotros te llevamos el súper!",900 g,0.03/g
https://www.chedraui.com.mx/azucar-zulka-glass-500g-3546184/p,Azúcar Zulka Glass 500gAzúcar Zulka Glass 500g,28.0,"Zulka Glass es el azúcar perfecta para cubrir y dar un toque decorativo a tus postres brindándoles una textura suave y uniforme.                                                                                                                                                                                                                                                                           Es un endulzante ideal para la pastelería , repostería y confitería por su fina textura el azúcar.",500 g,0.06/g
https://www.chedraui.com.mx/cafe-nescafe-clasico-300g-3822396/p,Café Nescafé Clásico 300gCafé Nescafé Clásico 300g,167.0,"Nescafé Clásico en sus distintas variedades es el café soluble que ha invitado a varias generaciones de mexicanos a disfrutar a pleno de cada día y vivir la rutina al máximo desde el momento mismo del desayuno Esta variedad se elabora con granos de café robusta y arábica cuidadosamente seleccionados que, gracias a un proceso especial de secado, dan por resultado un café 100% soluble y de origen natural, con un aroma y sabor incomparables.",300 g,0.56/g
https://www.chedraui.com.mx/cafe-legal-soluble-regular-180-g-3278434/p,Café Legal Soluble Regular 180 gCafé Legal Soluble Regular 180 g,79.0,"Prepara tu despensa en unos cuantos clics y descubre nuestra gran variedad de productos. ¡No salgas de casa, nosotros te llevamos el súper!",180 g,0.44/g
