url,nombre,precio,descripcion,unidad,precio_unidad
https://diaonline.supermercadosdia.com.ar/leche-multidefensa-3--la-serenisima-1-lt-274565/p,Leche Multidefensa 3% La Serenisima 1 Lt.,1430.0,"Leche ultrapasteurizada homogeneizada, fortificada con vitaminas A y D. Libre de gluten. Fuente de vitaminas C y E.",1 lt,1430.00/lt
https://diaonline.supermercadosdia.com.ar/leche-entera-larga-vida-lechelita-1-lt-300130/p,Leche Entera Larga Vida Lechelita 1 Lt.,1600.0,"Encontrá increíbles ofertas y descuentos en Supermercados DIA. Comprá en nuestra tienda online productos de Almacén, Bebidas, Perfumería, Limpieza y mucho más.",1 lt,1600.00/lt
https://diaonline.supermercadosdia.com.ar/leche-entera-dia-larga-vida-1-lt-608/p,Leche Entera DIA Larga Vida 1 Lt.,1390.0,Comprá tu Leche Entera Larga Vida Dia de 1 Litro al mejor precio. Descubrí nuestras ofertas en leche entera y más de la marca Dia y realizá tu pedido a domicilio.,1 lt,1390.00/lt
https://diaonline.supermercadosdia.com.ar/leche-fresca-entera-3--fortificada-casanto-sachet-1-lt-288868/p,Leche Fresca Entera 3% Fortificada Casanto Sachet 1 Lt.,1290.0,"Encontrá increíbles ofertas y descuentos en Supermercados DIA. Comprá en nuestra tienda online productos de Almacén, Bebidas, Perfumería, Limpieza y mucho más.",1 lt,1290.00/lt
https://diaonline.supermercadosdia.com.ar/leche-entera-las-3-ninas-larga-vida-1-lt-58463/p,Leche Entera Las 3 Niñas Larga Vida 1 Lt.,2080.0,"Encontrá increíbles ofertas y descuentos en Supermercados DIA. Comprá en nuestra tienda online productos de Almacén, Bebidas, Perfumería, Limpieza y mucho más.",1 lt,2080.00/lt
https://diaonline.supermercadosdia.com.ar/pan-integral-fargo-400-gr-263877/p,Pan Integral Fargo 400 Gr.,4335.0,"Encontrá increíbles ofertas y descuentos en Supermercados DIA. Comprá en nuestra tienda online productos de Almacén, Bebidas, Perfumería, Limpieza y mucho más.",400 gr,10.84/gr
https://diaonline.supermercadosdia.com.ar/pan-blanco-bimbo-610-gr-263871/p,Pan Blanco Bimbo 610 Gr.,5675.0,"El pan Blanco Bimbo ahora con rebanada más grande, suave y esponjoso. Nuestra receta está elaborada con la bondad del trigo y con FERMENTACIÓN NATURAL, para que tengas siempre en tu mesa un pan suave, esponjoso y con un gran sabor.",610 gr,9.30/gr
https://diaonline.supermercadosdia.com.ar/pan-lacteado-noly-grande-600-gr-138110/p,Pan Lacteado Noly Grande 600 Gr.,3835.0,"Encontrá increíbles ofertas y descuentos en Supermercados DIA. Comprá en nuestra tienda online productos de Almacén, Bebidas, Perfumería, Limpieza y mucho más.",600 gr,6.39/gr
https://diaonline.supermercadosdia.com.ar/pan-salvado-lactal-560-gr-241835/p,Pan Salvado Lactal 560 Gr.,4565.0,El pan Lactal es nuestro pan clásico que acompaña tu mesa desde hace mas de 100 años.,560 gr,8.15/gr
https://diaonline.supermercadosdia.com.ar/pan-blanco-grande-dia-460-gr-295395/p,,,"Encontrá increíbles ofertas y descuentos en Supermercados DIA. Comprá en nuestra tienda online productos de Almacén, Bebidas, Perfumería, Limpieza y mucho más.",,
https://diaonline.supermercadosdia.com.ar/azucar-ledesma-refinado-superior-1-kg-129208/p,Azúcar Ledesma Refinado Superior 1 Kg.,1155.0,Comprá Azúcar Blanco Refinado Ledesma Superior de 1 kg al mejor precio en Dia. Descubrí nuestras ofertas en azúcar y realizá tu pedido a domicilio o retiralo gratis.,1 kg,1155.00/kg
https://diaonline.supermercadosdia.com.ar/azucar-plus-dia-comun-tipo-a-1-kg-130321/p,Azúcar Plus DIA Común tipo A 1 Kg.,990.0,<b>El Azúcar Plus DIA Común tipo A 1 Kg</b>. Es un producto de alta calidad. Ideal para endulzar tus bebidas favoritas y preparar tus postres caseros. Su formato de 1 Kg. te asegura tener suficiente azúcar para todas tus recetas. Disfrutá del dulce sabor que este azúcar aporta a tus creaciones culinarias. <i>¡No puede faltar en tu despensa!</i>,1 kg,990.00/kg
https://diaonline.supermercadosdia.com.ar/azucar-la-providencia-1-kg-294967/p,Azúcar La Providencia 1 Kg.,1015.0,"Encontrá increíbles ofertas y descuentos en Supermercados DIA. Comprá en nuestra tienda online productos de Almacén, Bebidas, Perfumería, Limpieza y mucho más.",1 kg,1015.00/kg
https://diaonline.supermercadosdia.com.ar/azucar-comun-arcor-tipo--a--1-kg-260592/p,"Azúcar Común Arcor Tipo ""A"" 1 Kg.",1250.0,"Encontrá increíbles ofertas y descuentos en Supermercados DIA. Comprá en nuestra tienda online productos de Almacén, Bebidas, Perfumería, Limpieza y mucho más.",1 kg,1250.00/kg
https://diaonline.supermercadosdia.com.ar/azucar-azucel-comun-tipo--a--500-gr-266204/p,"Azúcar Azucel Común tipo ""A"" 500 Gr.",640.0,"Encontrá increíbles ofertas y descuentos en Supermercados DIA. Comprá en nuestra tienda online productos de Almacén, Bebidas, Perfumería, Limpieza y mucho más.",500 gr,1.28/gr
https://diaonline.supermercadosdia.com.ar/fideos-spaghetti-n7-luchetti-500-gr-40877/p,Fideos Spaghetti N7 Luchetti 500 Gr.,1400.0,"Encontrá increíbles ofertas y descuentos en Supermercados DIA. Comprá en nuestra tienda online productos de Almacén, Bebidas, Perfumería, Limpieza y mucho más.",7 l,200.00/l
https://diaonline.supermercadosdia.com.ar/fideos-spaghetti-n3-matarazzo-500-gr-38576/p,Fideos Spaghetti N3 Matarazzo 500 Gr.,1600.0,"Encontrá increíbles ofertas y descuentos en Supermercados DIA. Comprá en nuestra tienda online productos de Almacén, Bebidas, Perfumería, Limpieza y mucho más.",500 gr,3.20/gr
