url,nombre,precio,descripcion,unidad,precio_unidad
https://www.exito.com/huevo-aa-rojo-30und-pet-744836/p,Huevos AA KIKES rojo pet (30  und),23900.0,Lleva a casa fácil y rápido Huevos AA KIKES rojo pet (30  und). Encuentra la mejor garantía. Compra seguro en exito.com,30 und,796.67/und
https://www.exito.com/huevo-rojo-aa-x-30-unidades-120829/p,Huevos AA SANTA REYES rojo (30  und),25500.0,Lleva a casa fácil y rápido Huevos AA SANTA REYES rojo (30  und). Encuentra la mejor garantía. Compra seguro en exito.com,30 und,850.00/und
https://www.exito.com/huevo-30und-omega-rojo-santa-anita-30-unidad-867527/p,Huevos AA y AAA SANTA ANITA rojo omega (30  und),27800.0,Lleva a casa fácil y rápido Huevos AA y AAA SANTA ANITA rojo omega (30  und). Encuentra la mejor garantía. Compra seguro en exito.com,30 und,926.67/und
https://www.exito.com/huevo-campesino-rojo-aa-huevos-oro-30-und-425721/p,Huevos AA HUEVOS ORO rojo campesino (30  und),26500.0,Lleva a casa fácil y rápido Huevos AA HUEVOS ORO rojo campesino (30  und). Encuentra la mejor garantía. Compra seguro en exito.com,30 und,883.33/und
https://www.exito.com/huevo-gallina-feliz-rojo-aa-x-32-und-cu-908166/p,Huevos AA GALLINA FELIZ rojo (32  und),39400.0,Lleva a casa fácil y rápido Huevos AA GALLINA FELIZ rojo (32  und). Encuentra la mejor garantía. Compra seguro en exito.com,32 und,1231.25/und
https://www.exito.com/arroz-premium-1000-gr-130605/p,Arroz DIANA blanco premium (1000  gr),6020.0,Lleva a casa fácil y rápido Arroz DIANA blanco premium (1000  gr). Encuentra la mejor garantía. Compra seguro en exito.com,1000 gr,6.02/gr
https://www.exito.com/arroz-roa-1-kilo-477377/p,Arroz ROA blanco fortiplus (1000  gr),5070.0,Lleva a casa fácil y rápido Arroz ROA blanco fortiplus (1000  gr). Encuentra la mejor garantía. Compra seguro en exito.com,1000 gr,5.07/gr
https://www.exito.com/arroz-flor-huila-1000-gr-491125/p,Arroz FLOR HUILA blanco (1000  gr),5670.0,Lleva a casa fácil y rápido Arroz FLOR HUILA blanco (1000  gr). Encuentra la mejor garantía. Compra seguro en exito.com,1000 gr,5.67/gr
https://www.exito.com/arroz-blanco-x-1000-gr-622811/p,Arroz SONORA  (1000  gr),4560.0,Lleva a casa fácil y rápido Arroz SONORA  (1000  gr). Encuentra la mejor garantía. Compra seguro en exito.com,1000 gr,4.56/gr
https://www.exito.com/arroz-golondrina-2500-gr-3172659/p,Arroz GOLONDRINA  (2500  gr),9900.0,Lleva a casa fácil y rápido Arroz GOLONDRINA  (2500  gr). Encuentra la mejor garantía. Compra seguro en exito.com,2500 gr,3.96/gr
https://www.exito.com/arroz-premium-alto-rendimiento-x-2500-gr-949864/p,Arroz FEDERAL Premium alto rendimiento (2500  gr),18000.0,Lleva a casa fácil y rápido Arroz FEDERAL Premium alto rendimiento (2500  gr). Encuentra la mejor garantía. Compra seguro en exito.com,2500 gr,7.20/gr
https://www.exito.com/pan-bimbo-blanco-suave-esponjoso-730-gr-3202794/p,Pan tajado BIMBO blanco suave esponjoso (730  gr),8230.0,Lleva a casa fácil y rápido Pan tajado BIMBO blanco suave esponjoso (730  gr). Encuentra la mejor garantía. Compra seguro en exito.com,730 gr,11.27/gr
https://www.exito.com/pan-tajado-extralargo-476498/p,Pan COMAPAN Tajado Extralargo (520  gr),5712.0,Lleva a casa fácil y rápido Pan COMAPAN Tajado Extralargo (520  gr). Encuentra la mejor garantía. Compra seguro en exito.com,520 gr,10.98/gr
https://www.exito.com/pan-tajado-vital-semillas-500-gr-93997/p,Pan Tajado Bimbo VITAL 100% Natural Semillas (500  gr),10100.0,Lleva a casa fácil y rápido Pan Tajado Bimbo VITAL 100% Natural Semillas (500  gr). Encuentra la mejor garantía. Compra seguro en exito.com,500 gr,20.20/gr
https://www.exito.com/pan-de-sagu-sin-gluten-mauka-snacks-450-gramo-122829/p,Pan de sagu sin gluten MAUKA SNACKS 450  gr,13450.0,Lleva a casa fácil y rápido Pan de sagu sin gluten MAUKA SNACKS 450  gr. Encuentra la mejor garantía. Compra seguro en exito.com,450 gr,29.89/gr
https://www.exito.com/pan-pullman-extralargo-34470/p,Pan SANTA CLARA Pullman Extralargo (550  gr),6800.0,Lleva a casa fácil y rápido Pan SANTA CLARA Pullman Extralargo (550  gr). Encuentra la mejor garantía. Compra seguro en exito.com,550 gr,12.36/gr
https://www.exito.com/pan-tajado-mantequilla-exito-marca-propia-550-gr-3098991/p,Pan tajado  EXITO MARCA PROPIA mantequilla (550  gr),5530.0,Lleva a casa fácil y rápido Pan tajado  EXITO MARCA PROPIA mantequilla (550  gr). Encuentra la mejor garantía. Compra seguro en exito.com,550 gr,10.05/gr
https://www.exito.com/leche-deslactosada-sixpack-en-bolsa-x-11-litros-cu-957267/p,Leche Deslactosada ALPINA Bolsa x6und 1100ml (6600  ml),33780.0,Lleva a casa fácil y rápido Leche Deslactosada ALPINA Bolsa x6und 1100ml (6600  ml). Encuentra la mejor garantía. Compra seguro en exito.com,6 und,5630.00/und
https://www.exito.com/leche-uht-entera-colanta-6000-ml-3069107/p,Leche COLANTA uht entera (6000  ml),30350.0,Lleva a casa fácil y rápido Leche COLANTA uht entera (6000  ml). Encuentra la mejor garantía. Compra seguro en exito.com,6000 ml,5.06/ml
https://www.exito.com/leche-sabor-original-alqueria-1300-ml-3141762/p,Leche Sabor Original ALQUERIA Unidad (1300  ml),6680.0,Lleva a casa fácil y rápido Leche Sabor Original ALQUERIA Unidad (1300  ml). Encuentra la mejor garantía. Compra seguro en exito.com,1300 ml,5.14/ml
https://www.exito.com/leche-entera-uht-paquete-exito-marca-propia-5400-ml-3101114/p,Leche EXITO MARCA PROPIA entera x6und (5400  ml),17280.0,Lleva a casa fácil y rápido Leche EXITO MARCA PROPIA entera x6und (5400  ml). Encuentra la mejor garantía. Compra seguro en exito.com,6 und,2880.00/und
https://www.exito.com/tomate-chonto-unidad-937107/p,Tomate Chonto  1  und,546.0,Lleva a casa fácil y rápido Tomate Chonto  1  und. Encuentra la mejor garantía. Compra seguro en exito.com,1 und,546.00/und
https://www.exito.com/tomate-chonto-frescampo-x-1000-gr-120787/p,Tomate Chonto Insuperable FRESCAMPO 1000  gr,5680.0,Lleva a casa fácil y rápido Tomate Chonto Insuperable FRESCAMPO 1000  gr. Encuentra la mejor garantía. Compra seguro en exito.com,1000 gr,5.68/gr
https://www.exito.com/tomate-picado-oregano-y-albaca-376826/p,Tomate HUNTS Picado Con Orégano Y Albaca (275  gr),18800.0,Lleva a casa fácil y rápido Tomate HUNT'S Picado Con Orégano Y Albaca (275  gr). Encuentra la mejor garantía. Compra seguro en exito.com,275 gr,68.36/gr
https://www.exito.com/banano-unidad-937109/p,Banano   1  und,504.0,Lleva a casa fácil y rápido Banano   1  und. Encuentra la mejor garantía. Compra seguro en exito.com,1 und,504.00/und
https://www.exito.com/banano-deshidratado-103939955-mp/p,Banano Deshidratado,8000.0,Lleva a casa fácil y rápido Banano Deshidratado. Encuentra aquí calidad y garantía. Compra seguro en Éxito.,,
https://www.exito.com/banano-crocante-liofilizado-15g-101283837-mp/p,Banano Crocante Liofilizado 15G X 4 Unidades,12800.0,Lleva a casa fácil y rápido Banano Crocante Liofilizado 15G X 4 Unidades. Encuentra aquí calidad y garantía. Compra seguro en Éxito.,15 g,853.33/g
https://www.exito.com/cebolla-blanca-organico-x-500gr-84781/p,CEBOLLA BLANCA ORGAN TAEQ 500 gr,,Lleva a casa fácil y rápido CEBOLLA BLANCA ORGAN TAEQ 500 gr. Encuentra la mejor garantía. Compra seguro en exito.com,500 gr,
https://www.exito.com/cebolla-blanca-unidad-956928/p,Cebolla Blanca  1  und,742.0,Lleva a casa fácil y rápido Cebolla Blanca  1  und. Encuentra la mejor garantía. Compra seguro en exito.com,1 und,742.00/und
https://www.exito.com/cebolla-roja-unidad-170530/p,Cebolla Roja   1  und,490.0,Lleva a casa fácil y rápido Cebolla Roja   1  und. Encuentra la mejor garantía. Compra seguro en exito.com,1 und,490.00/und
https://www.exito.com/papa-criolla-a-granel-436803/p,Papa Criolla Granel,2940.0,Lleva a casa fácil y rápido Papa Criolla Granel. Encuentra la mejor garantía. Compra seguro en exito.com,,
https://www.exito.com/papa-criolla-ekono-1000g-824255/p,Papa Criolla FRESCAMPO 1000  gr,5992.0,Lleva a casa fácil y rápido Papa Criolla FRESCAMPO 1000  gr. Encuentra la mejor garantía. Compra seguro en exito.com,1000 gr,5.99/gr
https://www.exito.com/papa-rusticas-mccain-500-gr-3026309/p,Papa Rusticas MC CAIN 500  gr,9150.0,Lleva a casa fácil y rápido Papa Rusticas MC CAIN 500  gr. Encuentra la mejor garantía. Compra seguro en exito.com,500 gr,18.30/gr
https://www.exito.com/queso-mozarella-486014/p,Queso mozzarella COLANTA tajado fresco semiduro  (1000  gr),,Lleva a casa fácil y rápido Queso mozzarella COLANTA tajado fresco semiduro  (1000  gr). Encuentra la mejor garantía. Compra seguro en exito.com,1000 gr,
https://www.exito.com/queso-mozarella-x-25-tajadas-417-gr-268748/p,Queso Mozarella ALPINA 25 Tajadas (400  gr),21650.0,Lleva a casa fácil y rápido Queso Mozarella ALPINA 25 Tajadas (400  gr). Encuentra la mejor garantía. Compra seguro en exito.com,400 gr,54.12/gr
https://www.exito.com/queso-mozarella-tajado-superior-400-gr-3127727/p,Queso SUPERIOR Tajado (400  gr),16500.0,Lleva a casa fácil y rápido Queso SUPERIOR Tajado (400  gr). Encuentra la mejor garantía. Compra seguro en exito.com,400 gr,41.25/gr
https://www.exito.com/queso-semigraso-7cueros-enroll-11242/p,Queso CAMPO REAL  (200  gr),9830.0,Lleva a casa fácil y rápido Queso CAMPO REAL  (200  gr). Encuentra la mejor garantía. Compra seguro en exito.com,200 gr,49.15/gr
https://www.exito.com/queso-pera-relleno-con-bocadillo-de-guayaba-tripack-x-210-gr-539595/p,Queso DEL VECCHIO Butirro x3und (210  gr),13950.0,Lleva a casa fácil y rápido Queso DEL VECCHIO Butirro x3und (210  gr). Encuentra la mejor garantía. Compra seguro en exito.com,3 und,4650.00/und
https://www.exito.com/queso-light-bloque-560384/p,QUESO PASCO Mozarella Light (450  gr),30900.0,Lleva a casa fácil y rápido QUESO PASCO Mozarella Light (450  gr). Encuentra la mejor garantía. Compra seguro en exito.com,450 gr,68.67/gr
https://www.exito.com/azucar-alta-pureza-2-kg-278588/p,Azúcar MANUELITA alta pureza (2000  gr),10400.0,Lleva a casa fácil y rápido Azúcar MANUELITA alta pureza (2000  gr). Encuentra la mejor garantía. Compra seguro en exito.com,2000 gr,5.20/gr
https://www.exito.com/azucar-blanca-475197/p,Azucar RIOPAILA  (1000  gr),5080.0,Lleva a casa fácil y rápido Azucar RIOPAILA  (1000  gr). Encuentra la mejor garantía. Compra seguro en exito.com,1000 gr,5.08/gr
https://www.exito.com/azucar-blanco-in-cauca-2500-gramo-15867/p,Azúcar Blanco 2 INCAUCA  (2500  gr),12900.0,Lleva a casa fácil y rápido Azúcar Blanco 2 INCAUCA  (2500  gr). Encuentra la mejor garantía. Compra seguro en exito.com,2500 gr,5.16/gr
https://www.exito.com/azucar-mayaguez-492336/p,Azúcar MAYAGUEZ  (2500  gr),10242.0,Lleva a casa fácil y rápido Azúcar MAYAGUEZ  (2500  gr). Encuentra la mejor garantía. Compra seguro en exito.com,2500 gr,4.10/gr
