url,nombre,precio,descripcion,unidad,precio_unidad
https://www.jumbocolombia.com/huevos-kikes-rojo-tipo-aa-x30und/p,Huevos Kikes rojos tipo L x30und,22990,Disfruta del gran sabor y calidad de los huevos Kikes. Prepara las recetas que más te gusten gracias a la versatilidad de este ingrediente.,30 und,"766,33/und"
https://www.jumbocolombia.com/huevo-aa-rojo-x30-unidades-santa-reyes/p,Huevos AA rojos Santa Reyes x30und,1899,"El huevo es considerado un alimento rico en proteína, libre de grasas, con alta fuente de hierro y vitaminas. Es ideal para cuidar de tu cuerpo.",30 und,"633,00/und"
https://www.jumbocolombia.com/huevo-santa-anita-ome-ga-aaa-rojo-x-30-und/p,Huevos surtidos rojos Omega 3 Santa Anita x30und,23890,Huevos de gallinas alimentadas con cereales. Enriquecidos con omega 3 y vitamina E.,30 und,"796,33/und"
https://www.jumbocolombia.com/campesino-termoencogido-oro-aa-x30-unidades/p,Campesino Termoencogido Oro Aa X30 Unidades,,De nuestras granjas a tu cocina con la frescura y sabor superior del campo gracias a la alimentación natural de nuestras gallinas.,30 unidades,"833,00/unidades"
https://www.jumbocolombia.com/huevo-sixpack-x-3und-gallina-feliz-100porciento-natural/p,Huevos A - AA rojos Gallina Feliz x18und,22590,"El huevo es considerado un alimento rico en proteína, libre de grasas, con alta fuente de hierro y vitaminas. Es ideal para cuidar de tu cuerpo.",18 und,"1.255,00/und"
https://www.tiendasjumbo.co/arroz-diana-x-1-kg/p/,Arroz Diana blanco x1kg,4590,Proporciónale todo el amor a tu familia con el delicioso Arroz Diana,1 kg,
https://www.tiendasjumbo.co/arroz-roa-x5kg/p,,,"En Jumbo encuentras productos de alta calidad en Supermercado, Electrodomésticos, Tecnología y más ¡Compra fácil online para recibir en casa!",,
https://www.tiendasjumbo.co/arroz-florhuila-x-10-kg/p,Arroz Florhuila x10kg,58940,Arroz descascarado al cual se le ha eliminado totalmente por elaboración el germen y el salvado con adición de vitamina A y acido fólico,10 kg,
https://www.tiendasjumbo.co/arroz-castellano-premium-blanco-x4000g/p,Arroz Castellano Premium blanco x4000g,46900,Un arroz perfecto para crear deliciosas recetas,4000 g,
https://www.tiendasjumbo.co/arroz-sonora-x3kg/p,Arroz Sonora x3kg,13990,Arroz Sonora x3kg,3 kg,
https://www.tiendasjumbo.co/arroz-dona-pepa-parbolizado-x1000g/p,,,"En Jumbo encuentras productos de alta calidad en Supermercado, Electrodomésticos, Tecnología y más ¡Compra fácil online para recibir en casa!",,
https://www.tiendasjumbo.co/pan-bimbo-integral-bolsa-x-480g-3643446/p,Pan Bimbo Integral Bolsa x 480G,7150,Pan Bimbo Integral Bolsa x 480G,480 g,
https://www.jumbocolombia.com/pan-comapan-extragrande-x-750-g/p,Pan Comapan Extragrande x 750 g,9540,El pan tajado es un buen complemento para los desayunos y en cualquier hora del día. Disfruta su delicioso sabor.,750 g,
https://www.jumbocolombia.com/pan-bimbo-vital-frutos-rojos-x-460-g/p,Pan Bimbo vital frutos rojos x 460 g,10590,"Pan Bimbo, acompañando momentos desde generaciones atrás.",460 g,
https://www.jumbocolombia.com/pan-mauka-sagu-tajado-sin-gluten-x450g/p,Pan Mauka sagu tajado sin gluten x450g,13150,Lleva tu Pan Mauka sagu tajado sin gluten x450g,450 g,
https://www.tiendasjumbo.co/pan-blanco-extra-largo-santa-clara-x-550-g/p,Pan blanco extra largo Santa Clara x 550 g,6890,"Acompaña tus comidas favoritas y comparte junto a los que más aprecias, hechas con los mejores estándares de calidad que te trae Jumbo.",550 g,
https://www.tiendasjumbo.co/leche-entera-alpina-bolsa-x6-und-x1100ml-0460684/p,Leche Entera Alpina Bolsa x6 Und x1100ml,,Prueba la leche Alpina entera y disfruta de su delicioso sabor.,6 und,
https://www.tiendasjumbo.co/leche-entera-colanta-bolsa-x6-und-x1000ml-3509862/p,Leche Entera Colanta Bolsa x6 Und x1000ml,,"Buena fuente de proteina y calcio con un sabor inigualable. Combinala con cereales, tortas, galletas y más.",6 und,
https://www.tiendasjumbo.co/leche-alqueria-original-pague-5-lleve-6x1100ml-c-u/p,,,"En Jumbo encuentras productos de alta calidad en Supermercado, Electrodomésticos, Tecnología y más ¡Compra fácil online para recibir en casa!",,
https://www.jumbocolombia.com/leche-maxima-entera-bolsa-x-900ml/p,Leche Entera Máxima Bolsa x900ml,3700,Disfruta de su rico sabor y combinala con lo que más te guste.,900 ml,
https://www.jumbocolombia.com/tomate-larga-vida-x-500g/p,Tomate Larga Vida x 500gr,4990,"Disfruta con tu familia y amigos todas las deliciosas recetas, que puedes preparar con los productos que encuentras en nuestras tienda jumbo .com",500 gr,
https://www.jumbocolombia.com/tomate-chonto-x-500-g/p,Tomate chonto x 500gr,,"Disfruta con tu familia y amigos todas las deliciosas recetas, que puedes preparar con los productos que encuentras en nuestras tienda jumbo .com",500 gr,
https://www.jumbocolombia.com/tomate-frescocampo-kosher-x-1000-g/p,Tomate Frescocampo kosher x 1000 gr,19490,"Acompaña tus comidas favoritas y comparte junto a los que más aprecias, hechas con los mejores estándares de calidad que te trae jumbo.",1000 gr,
https://www.jumbocolombia.com/banano-uraba-x-500-g/p,Banano Urabá x 500 gr,2075,Disfruta de una deliciosa fruto ideal para alimentar tu cuerpo con propiedades de gran beneficio.,500 gr,
https://www.jumbocolombia.com/banano-deshidratado-x-200-g/p,Banano Deshidratado x 200 gr,14290,"Consume estos deliciosos frutos secos o emplealos para acompañar tus preparaciones favoritas, aprovecha los beneficios que estos brindan a tu cuerpo y pidelo ahora en tiendasjumbo.co",200 gr,
https://www.tiendasjumbo.co/cebolla-cabezona-a-granel-x-500g/p,Cebolla cabezona a granel x 500gr,,"Disfruta de una deliciosa Cebolla cabezona, sorprende con buenas recetas a tus seres queridos.",500 gr,
https://www.jumbocolombia.com/cebolla-cabezona-malla-x-2000g/p,Cebolla cabezona malla x2000gr,7720,"Este producto no puede faltar en tu cocina, disfruta de todo su sabor.",2000 gr,
https://www.jumbocolombia.com/cebolla-cabezona-frescocampo-kosher-x-1000g/p,Cebolla Cabezona  Frescocampo Kosher x 1000gr,17990,"Acompaña tus comidas favoritas y comparte junto a los que más aprecias, hechas con los mejores estándares de calidad que te trae jumbo.",1000 gr,
