url,nombre,precio,descripcion,unidad,precio_unidad
https://www.makro.plazavea.com.pe/arroz-superior-faraon-rojo-bolsa-10kg/p,Arroz Superior FARAÓN Rojo Bolsa 10Kg,45.6,¡Compra online Arroz Superior FARAÓN Rojo Bolsa 10Kg desde donde estés en plazaVea.com.pe!,10 kg,4.56/kg
https://www.makro.plazavea.com.pe/arroz-reserva-extra-anejado-campero-bolsa-5kg/p,Arroz Reserva Extra Añejado CAMPERO Bolsa 5Kg,24.9,¡Compra online Arroz Reserva Extra Añejado CAMPERO Bolsa 5Kg desde donde estés en plazaVea.com.pe!,5 kg,4.98/kg
https://www.makro.plazavea.com.pe/arroz-superior-nir-tazon-norteno-saco-49kg/p,Arroz Superior Nir TAZÓN NORTEÑO Saco 49Kg,197.0,¡Compra online Arroz Superior Nir TAZÓN NORTEÑO Saco 49Kg desde donde estés en plazaVea.com.pe!,49 kg,4.02/kg
https://www.makro.plazavea.com.pe/arroz-naranja-gran-arroz-pacasmayo-saco-49kg/p,Arroz Naranja GRAN ARROZ PACASMAYO Saco 49kg,212.5,¡Compra online Arroz Naranja GRAN ARROZ PACASMAYO Saco 49kg desde donde estés en plazaVea.com.pe!,49 kg,4.34/kg
https://www.makro.plazavea.com.pe/arroz-superior-vallenorte-bolsa-5kg/p,Arroz Superior VALLENORTE Bolsa 5Kg,21.9,¡Compra Online Arroz Superior VALLENORTE Bolsa 5Kg desde donde estés en plazaVea.com.pe!,5 kg,4.38/kg
https://www.makro.plazavea.com.pe/pollo-entero-perdix-sin-menudencia-congelado-bolsa-1-5kg/p,Pollo Entero PERDIX sin Menudencia Congelado Bolsa 1.5Kg,16.5,¡Compra online Pollo Entero PERDIX sin Menudencia Congelado Bolsa 1.5Kg desde donde estés en plazaVea.com.pe!,1.5 kg,11.00/kg
https://www.makro.plazavea.com.pe/pollo-entero-sin-menudencia-frangosul-congelado-bolsa-1-3kg/p,Pollo Entero Sin Menudencia FRANGOSUL Congelado Bolsa 1.3Kg,7.9,¡Compra online Pollo Entero Sin Menudencia FRANGOSUL Congelado Bolsa 1.3Kg desde donde estés en plazaVea.com.pe!,1.3 kg,6.08/kg
https://www.makro.plazavea.com.pe/pollo-sin-menudencia-a-granel-san-fernando-xkg/p,,,"Compra en plazaVea Online y encuentra los mejores precios en Supermercado, Electro, Colchones y más. ¡Ingresa aquí!",,
https://www.makro.plazavea.com.pe/pollo-avinka-x-kg/p,Pollo AVINKA x Kg,12.9,¡Compra online Pollo AVINKA x Kg desde donde estés en plazaVea.com.pe!,,
https://www.makro.plazavea.com.pe/cafe-tostado-y-molido-kaphiy-500g/p,Cafe Tostado Y Molido Kaphiy 500g,23.5,¡Compra online Cafe Tostado Y Molido Kaphiy 500g desde donde estés en plazaVea.com.pe!,500 g,0.05/g
https://www.makro.plazavea.com.pe/cafe-instantaneo-altomayo-armonico-doypack-150g/p,Café Instantáneo ALTOMAYO Armónico Doypack 150g,23.9,¡Compra Online Café Instantáneo ALTOMAYO Armónico Doypack 150g desde donde estés en plazaVea.com.pe!,150 g,0.16/g
https://www.makro.plazavea.com.pe/cafe-instantaneo-colcafe-clasico-frasco-170g/p,Café Instantáneo COLCAFÉ Clásico Frasco 170g,23.5,¡Compra Online Café Instantáneo COLCAFÉ Clásico Frasco 170g desde donde estés en plazaVea.com.pe!,170 g,0.14/g
https://www.makro.plazavea.com.pe/cafe-instantaneo-cafetal-doypack-150g/p,Café Instantáneo CAFETAL Doypack 150g,18.72,¡Compra Online Café Instantáneo CAFETAL Doypack 150g desde donde estés en plazaVea.com.pe!,150 g,0.12/g
https://www.makro.plazavea.com.pe/cafe-instantaneo-nescafe-tradicion-lata-500g/p,Café Instantáneo NESCAFE Tradición Lata 500g,57.9,¡Compra online Café Instantáneo NESCAFE Tradición Lata 500g desde donde estés en plazaVea.com.pe!,500 g,0.12/g
https://www.makro.plazavea.com.pe/aceite-de-soya-aro-bidon-3l/p,Aceite de Soya ARO Bidon 3L,20.7,¡Compra Online Aceite de Soya ARO Bidon 3L desde donde estés en plazaVea.com.pe!,3 l,6.90/l
https://www.makro.plazavea.com.pe/aceite-vegetal-beltran-botella-900ml/p,Aceite Vegetal BELTRAN Botella 900ml,6.7,¡Compra Online Aceite Vegetal BELTRAN Botella 900ml desde donde estés en plazaVea.com.pe!,900 ml,0.01/ml
https://www.makro.plazavea.com.pe/aceite-de-oliva-el-olivar-puro-botella-1l/p,Aceite de Oliva EL OLIVAR Puro Botella 1L,62.74,¡Compra Online Aceite de Oliva EL OLIVAR Puro Botella 1L desde donde estés en plazaVea.com.pe!,1 l,62.74/l
https://www.makro.plazavea.com.pe/aceite-vegetal-deleite-premium-bidon-5l/p,Aceite Vegetal DELEITE Premium Bidón 5L,34.9,¡Compra Online Aceite Vegetal DELEITE Premium Bidón 5L desde donde estés en plazaVea.com.pe!,5 l,6.98/l
https://www.makro.plazavea.com.pe/aceite-vegetal-primor-clasico-botella-900ml/p,Aceite Vegetal PRIMOR Clásico Botella 900ml,9.4,¡Compra Online Aceite Vegetal PRIMOR Clásico Botella 900mldesde donde estés en plazaVea.com.pe!,900 ml,0.01/ml
https://www.makro.plazavea.com.pe/leche-gloria-uht-fresca-ninos-1-a-5-anos-caja-1l/p,Leche GLORIA UHT Fresca niños 1 a 5 años Caja 1L,5.7,¡Compra online Leche GLORIA UHT Fresca niños 1 a 5 años Caja 1L desde donde estés en plazaVea.com.pe!,1 l,5.70/l
https://www.makro.plazavea.com.pe/leche-sin-lactosa-vigor-bolsa-800ml/p,Leche sin Lactosa VIGOR Bolsa 800ml,4.61,¡Compra online Leche sin Lactosa VIGOR Bolsa 800ml desde donde estés en plazaVea.com.pe!,800 ml,0.01/ml
https://www.makro.plazavea.com.pe/leche-entera-aro-caja-1l/p,Leche Entera ARO Caja 1L,4.9,¡Compra online Leche Entera ARO Caja 1L desde donde estés en plazaVea.com.pe!,1 l,4.90/l
https://www.makro.plazavea.com.pe/leche-fresca-laive-light-bolsa-900ml/p,Leche UHT LAIVE Entera Light Bolsa 900ml,4.78,¡Compra Online Leche Fresca LAIVE Light Bolsa 900ml desde donde estés en plazaVea.com.pe!,900 ml,0.01/ml
https://www.makro.plazavea.com.pe/leche-fresca-danlac-botella-900ml/p,Leche Fresca DANLAC Botella 900ml,7.23,¡Compra Online Leche Fresca DANLAC Botella 900ml desde donde estés en plazaVea.com.pe!,900 ml,0.01/ml
https://www.makro.plazavea.com.pe/huevo-rosado-con-dha-aro-paquete-30un/p,Huevo Rosado Con Dha ARO Paquete 30un,18.9,¡Compra online Huevo Rosado Con Dha Aro 30un desde donde estés en plazaVea.com.pe!,,
https://www.makro.plazavea.com.pe/azucar-rubia-aro-bolsa-5kg/p,Azúcar Rubia ARO Bolsa 5Kg,19.7,¡Compra online Azúcar Rubia ARO Bolsa 5Kg desde donde estés en plazaVea.com.pe!,5 kg,3.94/kg
https://www.makro.plazavea.com.pe/azucar-rubia-cartavio-bolsa-5kg/p,Azúcar Rubia CARTAVIO Bolsa 5Kg,20.9,¡Compra Online Azúcar Rubia CARTAVIO Bolsa 5Kg desde donde estés en plazaVea.com.pe!,5 kg,4.18/kg
https://www.makro.plazavea.com.pe/azucar-rubia-dulfina-bolsa-1-kg/p,Azúcar Rubia DULFINA Bolsa 1Kg,4.8,¡Compra Online Azúcar Rubia DULFINA Bolsa 1Kg desde donde estés en plazaVea.com.pe!,1 kg,4.80/kg
https://www.makro.plazavea.com.pe/azucar-blanca-mk-bolsa-1kg/p,Azúcar Blanca M&K Bolsa 1Kg,4.23,¡Compra Online Azúcar Blanca M&K Bolsa 1Kg desde donde estés en plazaVea.com.pe!,1 kg,4.23/kg
https://www.makro.plazavea.com.pe/azucar-rubia-san-jacinto-25-kg/p,Azúcar Rubia San Jacinto 25 Kg,75.7,¡Compra Online Azúcar Rubia San Jacinto 25 Kg desde donde estés en plazaVea.com.pe!,25 kg,3.03/kg
https://www.makro.plazavea.com.pe/pan-molde-integral-aro-bolsa-600g/p,Pan Molde Integral ARO Bolsa 600g,8.83,¡Compra online Pan Molde Integral ARO Bolsa 600g desde donde estés en plazaVea.com.pe!,600 g,0.01/g
https://www.makro.plazavea.com.pe/pan-de-molde-integral-union-bolsa-495g/p,Pan de Molde Integral UNIÓN Bolsa 495g,10.5,¡Compra Online Pan de Molde Integral UNIÓN Bolsa 495g desde donde estés en plazaVea.com.pe!,495 g,0.02/g
https://www.makro.plazavea.com.pe/pan-de-molde-integral-pyc-mediano-bolsa-500g/p,Pan de Molde Integral PYC Mediano Bolsa 500g,8.5,¡Compra Online Pan de Molde Integral PYC Mediano Bolsa 500g desde donde estés en plazaVea.com.pe!,500 g,0.02/g
https://www.makro.plazavea.com.pe/pan-de-molde-integral-dolcezza-bolsa-500g/p,Pan de Molde Integral DOLCEZZA Bolsa 500g,6.99,¡Compra online Pan de Molde Integral DOLCEZZA Bolsa 500g desde donde estés en plazaVea.com.pe!,500 g,0.01/g
https://www.makro.plazavea.com.pe/pan-de-molde-integral-xl-bimbo-extra-grande-bolsa-810g/p,Pan de Molde Integral XL BIMBO Extra Grande Bolsa 810g,11.9,¡Compra online Pan de Molde Integral XL BIMBO Extra Grande Bolsa 810g desde donde estés en plazaVea.com.pe!,810 g,0.01/g
https://www.makro.plazavea.com.pe/spaghetti-grano-de-oro-bolsa-500g/p,Spaghetti GRANO DE ORO Bolsa 500g,2.59,¡Compra online Spaghetti GRANO DE ORO Bolsa 500g desde donde estés en plazaVea.com.pe!,500 g,0.01/g
https://www.makro.plazavea.com.pe/spaghetti-nicolini-paquete-1kg/p,Spaghetti NICOLINI Paquete 1kg,4.9,¡Compra Online Spaghetti NICOLINI Paquete 1kgdesde donde estés en plazaVea.com.pe!,1 kg,4.90/kg
https://www.makro.plazavea.com.pe/spaghetti-marco-polo-bolsa-450g/p,Spaghetti MARCO POLO Bolsa 450g,2.5,¡Compra online Spaghetti MARCO POLO Bolsa 450g desde donde estés en plazaVea.com.pe!,450 g,0.01/g
