url,nombre,precio,descripcion,unidad,precio_unidad
https://www.metro.pe/arroz-extra-costeno-5kg-14974/p,Arroz Extra Costeño 5kg,25.9,¡Encuentra aquí los mejores productos de Arroz Extra y Superior de la marca COSTEÑO!,5 kg,5.18/kg
https://www.metro.pe/arroz-extra-valle-norte-mejorado-bolsa-5-kg-107169/p,Arroz Gran Reserva Extra Valle Norte Bolsa 5 Kg,24.9,"Compra online comida para perros RIcocan, Dog Chow y comida para gatos Ricocat, Cat Chow y más. También, aprovecha las ofertas en parrillas.",5 kg,4.98/kg
https://www.metro.pe/arroz-superior-paisana-x-5kg/p,Arroz Superior Paisana Bolsa 5 kg,20.9,"Compra online comida para perros RIcocan, Dog Chow y comida para gatos Ricocat, Cat Chow y más. También, aprovecha las ofertas en parrillas.",5 kg,4.18/kg
https://www.metro.pe/arroz-extra-metro-5kg-391214/p,Arroz Extra Metro 5kg,20.3,¡Encuentra aquí los mejores productos de Arroz Extra y Superior de la marca METRO!,5 kg,4.06/kg
https://www.metro.pe/arroz-familiar-maxima-bolsa-5-kg-498326/p,Arroz Familiar Maxima Bolsa 5 kg,18.5,"Compra online comida para perros RIcocan, Dog Chow y comida para gatos Ricocat, Cat Chow y más. También, aprovecha las ofertas en parrillas.",5 kg,3.70/kg
https://www.metro.pe/pollo-entero-marinado-sazon-brasa-san-fernando-1-4kg/p,Pollo Entero Marinado Sazón Brasa San Fernando 1.4kg,22.44,¡Encuentra aquí los mejores productos de Preparados de Pollo de la marca San Fernando!,1.4 kg,16.03/kg
https://www.metro.pe/pechuga-entera-de-pollo-redondos-x-kg-1001792/p,Pechuga Entera de Pollo Redondos x kg,15.5,¡Encuentra aquí los mejores productos de Cortes de Pollo de la marca REDONDOS!,,
https://www.metro.pe/caf-instant-neo-altomayo-gourmet-170g-caf-instant-neo-altomayo-gourmet-170g/p,Café Instantáneo Altomayo Gourmet 170g,32.5,¡Encuentra aquí la mejor variedad de Café Instantáneo de la marca Altomayo!,170 g,0.19/g
https://www.metro.pe/cafe-molido-cafetal-selecto-454g/p,Café Molido Cafetal Selecto 454g,32.9,"Compra online comida para perros RIcocan, Dog Chow y comida para gatos Ricocat, Cat Chow y más. También, aprovecha las ofertas en parrillas.",454 g,0.07/g
https://www.metro.pe/cafe-instantaneo-nescafe-fina-seleccion-200g/p,Café Instantáneo Nescafé Fina Selección 200g,30.9,"Compra online comida para perros RIcocan, Dog Chow y comida para gatos Ricocat, Cat Chow y más. También, aprovecha las ofertas en parrillas.",200 g,0.15/g
https://www.metro.pe/cafe-molido-descafeinado-britt-250g-133095004/p,Café Molido Descafeinado Britt 250g,51.9,¡Encuentra aquí la mejor variedad de Café Molido y Granos de la marca Britt!,250 g,0.21/g
https://www.metro.pe/cafe-molido-y-tostado-cuisine-co-500g/p,Café Molido y Tostado Cuisine & Co 500g,33.9,¡Encuentra aquí la mejor variedad de Café Molido y Granos de la marca Cuisine & Co!,500 g,0.07/g
https://www.metro.pe/aceite-vegetal-primor-premium-botella-900ml-3198/p,Aceite Vegetal Primor Premium Botella 900ml,10.5,¡Encuentra aquí los mejores productos de Aceites Vegetales de la marca Primor!,900 ml,0.01/ml
https://www.metro.pe/aceite-vegetal-metro-botella-900-ml-717239/p,Aceite Vegetal Metro 900ml,5.8,¡Encuentra aquí los mejores productos de Aceites Vegetales de la marca Metro!,900 ml,0.01/ml
https://www.metro.pe/aceite-de-soya-sao-botella-900ml-31484/p,Aceite de Soya Sao Botella 900ml,6.7,¡Encuentra aquí los mejores productos de Aceites Especiales de la marca Sao!,900 ml,0.01/ml
https://www.metro.pe/aceite-vegetal-maxima-botella-900-ml-717238/p,Aceite Vegetal Máxima 900ml,6.0,"¡Aceite Vegetal de Soya Máxima al mejor precio! Cómprala hoy en su versión de 900ml y prepara todas tus comidas, postres y más. Delivery disponible.",900 ml,0.01/ml
https://www.metro.pe/aceite-vegetal-cuisine-co-900ml-786936/p,Aceite Vegetal Cuisine & Co 900ml,6.8,¡Encuentra aquí los mejores productos de Aceites Vegetales de la marca CUISINE & CO!,900 ml,0.01/ml
https://www.metro.pe/leche-parcialmente-descremada-gloria-light-caja-1l-59533001/p,Leche Parcialmente Descremada Gloria Light Caja 1L,6.5,"Compra online comida para perros RIcocan, Dog Chow y comida para gatos Ricocat, Cat Chow y más. También, aprovecha las ofertas en parrillas.",1 l,6.50/l
https://www.metro.pe/leche-semidescremada-uht-laive-sin-lactosa-light-caja-946ml-998405/p,Leche Semidescremada UHT Laive Sin Lactosa Light Caja 946ml,5.9,"Compra online comida para perros RIcocan, Dog Chow y comida para gatos Ricocat, Cat Chow y más. También, aprovecha las ofertas en parrillas.",946 ml,0.01/ml
https://www.metro.pe/leche-uht-vigor-bolsa-800ml/p,Leche Uht Vigor Bolsa 800ml,4.2,¡Encuentra aquí la mejor variedad en productos de la marca Vigor!,800 ml,0.01/ml
https://www.metro.pe/leche-deslactosada-danlac-light-botella-900ml-986461/p,Leche Deslactosada Danlac Light Botella 900ml,8.5,¡Encuentra aquí los mejores productos de Leches Frescas y UHT de la marca DANLAC!,900 ml,0.01/ml
https://www.metro.pe/leche-uht-light-cuisine-co-caja-1-lt/p,Leche UHT Light Cuisine & Co Caja 1 lt,5.5,"Compra online comida para perros RIcocan, Dog Chow y comida para gatos Ricocat, Cat Chow y más. También, aprovecha las ofertas en parrillas.",1 l,5.50/l
https://www.metro.pe/huevos-clasicos-pardos-la-calera-30un-2/p,Huevos Clásicos Pardos La Calera 30un,20.5,"Compra online comida para perros RIcocan, Dog Chow y comida para gatos Ricocat, Cat Chow y más. También, aprovecha las ofertas en parrillas.",,
https://www.metro.pe/huevos-pardos-metro-30un-1009776/p,Huevos Pardos Metro 30un,18.9,¡Encuentra aquí los mejores productos de Huevos de la marca METRO!,,
https://www.metro.pe/huevos-pardos-artisan-15un-964245/p,Huevos Pardos Artisan 15un,13.5,¡Encuentra aquí la mejor variedad de Huevos de la marca Avinka!,,
https://www.metro.pe/huevos-gallinas-libres-12un-2/p,Huevos Gallinas Libres 12un,15.9,¡Encuentra aquí los mejores productos de Huevos de la marca Gallinas Libres!,,
https://www.metro.pe/huevos-pardo-san-fernando-30un-1035943/p,Huevos Pardo San Fernando 30un,20.8,¡Encuentra aquí los mejores productos de Huevos de la marca SAN FERNANDO!,,
https://www.metro.pe/azucar-rubia-metro-5kg-127643/p,Azúcar Rubia Metro 5kg,20.5,¡Encuentra aquí los mejores productos de Azúcar Rubia de la marca METRO!,5 kg,4.10/kg
