url,nombre,precio,descripcion,unidad,precio_unidad
https://www.olimpica.com/huevo-aa-rojo-pet-kikes-30un-7707304621100-1353948/p,Huevo Kikes Rojo AA X30 Unds,24500.0,"Aprovecha el mejor precio en huevo rojo AAA Santa Anita x30 unds. Ideal para tus desayunos o cenas, acompañado de arepa, tostadas o pan. Compra ya en Olímpica.",30 und,816.67/und
https://www.olimpica.com/huevo-aa-rojo-vinipel-30-un-7702420910015/p,Huevo Santa Reyes Rojo AA X30 Unds,25550.0,Aprovecha nuestra oferta en Huevo Santa Reyes Rojo AA en presentación de 30 unidades. Calidad garantizada a un precio accesible. Ideal para tu cocina.,30 und,851.67/und
https://www.olimpica.com.co/huevo-santa-anita-aa-rojo-24un-7706772100582-973681/p,Huevo Santa Anita Rojo AA X24 Unds,25000.0,"Disfruta de Huevo Santa Anita Rojo AA en presentación de 24 unidades. Frescos y nutritivos, ideales para tus recetas diarias. Perfectos para toda la familia.",24 und,1041.67/und
https://www.olimpica.com/huevo-campesino-nutriavicola-rojo-x30un-7702349030375-1006331/p,Huevo Oro Nutriavicola Rojo AA X30 Unds,24000.0,"Aprovecha los beneficios del Huevo Oro Nutriavícola Rojo X30 Unds, ricos en nutrientes y perfectos para una alimentación saludable. Ideal para toda la familia.",30 und,800.00/und
https://www.olimpica.com/arroz-diana-5-kg-7702511000045-566554/p,Arroz Diana 5 Kg,22490.0,"Consigue Arroz Diana x 5 Kg con vitaminas y nutrientes, libre de colesterol, gluten y grasas trans. Compra arroces saludables y de calidad en Olímpica.",5 kg,4498.00/kg
https://www.olimpica.com/arroz-sabroson-5-kg-7707105805105-2000025/p,Arroz Sabrosón 5 Kg,18691.0,"Descubre el arroz Sabrosón 5 Kg en Olímpica. Disfruta de su exquisito sabor y calidad inigualable, ideal para tus comidas. Compra en Olímpica con descuento.",5 kg,3738.20/kg
https://www.olimpica.com/arroz-olimpica-10-kg-m-bult/p,Arroz Olimpica Bulto 10 Kg,37990.0,"Arroz Olímpica en presentación de 10 kg, ideal para preparar grandes porciones con la calidad que siempre deseas. Encuentra salsas, aceite, granos y más.",10 kg,3799.00/kg
https://www.olimpica.com/arroz-donapepa-153-5kg-7702231300043-1393182/p,Arroz Doña Pepa 153 5 Kg,,Descubre el delicioso Arroz Doña Pepa 153 de 5 Kg. Disfruta de su sabor y calidad en cada grano mientras ahorras en tus compras. Ideal para todas tus recetas.,5 kg,
https://www.olimpica.com/arroz-mi-arroz-3-kg-7707105814060-1635734/p,Arroz Mi Arroz 3 Kg,31700.0,"Descubre el sabor y la calidad de Arroz Mi Arroz 3 Kg. Ideal para tus comidas familiares, ahorra y disfruta de lo mejor en cada plato. Compra en Olímpica.",3 kg,10566.67/kg
https://www.olimpica.com/arroz-dona-rosa-paca-25-und-12-5-kg/p,ARROZ DOÑA ROSA PACA 25 UND 12.5 KG,42490.0,Disfruta del arroz doña rosa de calidad premium en presentación de 12.5 kg. Perfecto para tus comidas familiares. Ideal para un sabor excepcional.,25 und,1699.60/und
https://www.olimpica.com/pan-tajado-bimbo-integral-650-g-7705326073365--754200/p,Pan Bimbo Tajado Integral Tamaño Familiar 650 G,10400.0,"Disfruta del Pan Bimbo Integral Familiar 650g, ideal para un desayuno saludable. Rico en fibra y sabor, perfecto para toda la familia. Aprovéchalo.",650 g,16.00/g
https://www.olimpica.com/pan-tajado-integral-centeno-malta-comapan-400g-7702432217928--5085884/p,Pan Comapan Tajado Integral Centeno Malteado 400 G,10500.0,PAN TAJADO INTEGRAL CENTENO MALTA COMAPAN 400g,400 g,26.25/g
https://www.olimpica.com/pan-bimbo-vital-multicereal-500-g-7705326073907--811942/p,Pan Bimbo Vital Integral Multicereal 500 G,10400.0,"Aprovecha el Pan Bimbo Vital Integral Multicereal 500g, ideal para una alimentación balanceada. Disfruta de su sabor y beneficios en cada rebanada.",500 g,20.80/g
https://www.olimpica.com/pan-sagu-mauka-450g/p,Pan Suga Mauka 450 G,14190.0,"PANADERIA Y PASTELERIA EMPACADA,PAN FUNCIONALTAJADO INTEGRAL ENRIQUECIDO,TAJADO INTEGRAL ENRIQUECIDO,TAJADO INTEGRAL ENRIQUECIDO",450 g,31.53/g
https://www.olimpica.com/pan-integral-olimpica-molde-540-g-25060263--350168/p,Pan Olimpica Integral Molde 540 G,17900.0,"Disfruta del Pan Olimpica Integral Molde 540 G, rico en fibra y nutrientes. Ideal para una alimentación saludable y balanceada. ¡Haz tu compra hoy!",540 g,33.15/g
https://www.olimpica.com/pan-tajado-mama-ines-integral-440-g-7705326019264--691537/p,Pan Mama Ines Tajado Integral 440 G,16150.0,"Pan Tajado Mama Inés Integral 440 Gr, Pan Saludable, Suave y Esponjado. Encuentra Productos Saludables de la Mejor Calidad y Garantía. Consigue en Olímpica",440 g,36.70/g
https://www.olimpica.com/leche-uht-alpina-ent-cj-1-l/p,LECHE UHT ALPINA ENT CJ 1 L,11300.0,"LACTEOS Y DERIVADOS REFRIGERADOS,LECHES LIQUIDAS,LECHE LIQ LARGA VIDA (CAJA),ENTERAS",1 l,11300.00/l
https://www.olimpica.com/leche-uht-colanta-entera-1000ml-x6/p,Leche Colanta Uht Entera 1000 Ml X6 Unds,29100.0,Compra leche entera Colanta 1000ml x6 unds con descuento exclusivo en Olímpica. Ideal para tus meriendas y desayunos. Aprovecha las ofertas con envío.,1000 ml,29.10/ml
https://www.olimpica.com/leche-alqueria-original-1100ml-x-6un/p,Leche Sabor Original Alqueria 1.1L x 6unds,35600.0,"Compra leche Alquería original 1100ml x6 und en oferta exclusiva. Ideal para tus desayunos y meriendas. Encuentra yogurt, alpinito y más.",1.1 l,32363.64/l
https://www.olimpica.com/leche-uht-olimpica/p,Leche Olimpica Uht Entera 800 Ml X6 Unds,15890.0,"Disfruta de la frescura y calidad de la leche olímpica uht entera. Perfecta para toda la familia, ideal para tus recetas y batidos. Ordena ya.",800 ml,19.86/ml
https://www.olimpica.com/leche-uht-medalla-oro-entera-900ml-x6-7701008629332-2146935/p,Leche Medalla de Oro Uht Entera 900 Ml X6 Unds,16740.0,"Aprovecha la oferta en leche entera Medalla de Oro 900ml x6 unds en Olímpica. Encuentra mantequilla, suero, queso y más. Compra ahora con envío y domicilio.",900 ml,18.60/ml
https://www.olimpica.com/tomate-pera-la-economica-1-kg-7701008112605-2569/p?skuId=2569,Tomate La Económica Pera 1 Kg,6.89,"Compra Tomate Pera empacado marca La Económica x 1Kg. Consigue zaragoza, habichuela, repollo morado, acelga china y más en Oferta por Supermercado Olímpica.",1 kg,6.89/kg
https://www.olimpica.com/tomat-chonto-selecto-la-giralda-24045223-12848/p?skuId=12848,Tomate La Giralda Chonto Selecto X Kg,10190.0,"Disfruta del sabor auténtico del tomate Chonto Selecto, fresco y jugoso por kg. Perfecto para tus ensaladas y recetas. Ideal para tu cocina.",,
https://www.olimpica.com/tomate-tamarillo-24030519-6572/p?skuId=6572,Tomate Tamarillo X Kg,757.0,"Disfruta del fresco sabor del Tomate Tamarillo X Kg, ideal para ensaladas y salsas. Aporta un toque único a tus comidas. Perfecto para tu cocina.",,
https://www.olimpica.com/tomate-rio-grande-ciruelo/p?skuId=747,Tomate Río Grande/Ciruelo,798.0,"Consigue Tomate Río x unidad o kilogramo. Compra online mora, fresa, papáya, lulo  y más frutas en oferta por Supermercado Olímpica.",,
https://www.olimpica.com/tomate-picados-hunts-411-g-27000380406--1104106/p,Tomate Hunt's Picado en Cubitos 411 G,17050.0,"Aprovecha la oportunidad de ahorrar en Tomate Hunts Picado en Cubitos 411 G. Ideal para tus recetas, disfruta de su sabor y calidad a un excelente precio.",411 g,41.48/g
https://www.olimpica.com/banano-bocadillo-7704862182463-4456/p?skuId=4456,Banano Bocadillo X Kg,518.0,"Disfruta del sabor natural del Banano Bocadillo X Kg, perfecto para meriendas saludables. Ideal para toda la familia, ¡prueba su deliciosa textura!",,
https://www.olimpica.com/banano-maduro/p?skuId=750,Banano Maduro,329.0,"Compra online Banano maduro x unidad o kilogramos. Encuentra mora, fresa, papaya, lulo, entre otras frutas y verduras en Supermercado  Olímpica.",,
https://www.olimpica.com/cebolla-cabezona-blanca/p?skuId=613,Cebolla Cabezona Blanca,588.0,"Encuentra Cebolla blanca cabezona en unidad o kilogramo. Compra online tomate, zanahoria, pepino y más en Supermercado Olímpica.",,
https://www.olimpica.com/cebolla-frescocampo-cabezona-blanca-kosher-1kg-7709631567830-12180/p?skuId=12180,Cebolla FrescoCampo Kosher Cabezona Blanca 1 Kg,10400.0,Aprovecha la frescura y calidad de la Cebolla Kosher Cabezona Blanca 1 Kg. Ideal para resaltar el sabor en tus platos. Perfecta para tu cocina.,1 kg,10400.00/kg
https://www.olimpica.com/cebolla-blanca-selecta-la-giralda-24045186-12846/p?skuId=12846,Cebolla Hacienda La Giralda Blanca Selecta X Kg,898.0,"Aprovecha la cebolla blanca selecta de Hacienda La Giralda, ideal para realzar tus platillos con su frescura y sabor. Perfecta para tus recetas.",,
https://www.olimpica.com/papa-olimpica--pastusa-por-2-5-kg-7701008005280-724/p?skuId=724,"Papa Olimpica Pastusa X 2,5 Kg",11592.0,"Disfruta de la frescura y sabor de la Papa Olimpica Pastusa 2,5 Kg. Ideal para tus recetas y acompañamientos. Calidad garantizada en cada bocado.",5 kg,2318.40/kg
https://www.olimpica.com/papa-tradicional-mc-cain-1-kg-7707203350071-830476/p,Papa McCain Tradicionales Rapi Papa 1 Kg,19900.0,"Disfruta de las crujientes Papas McCain Tradicionales 1 Kg, perfectas para acompañar tus comidas. Calidad y sabor en cada bocado. ¡Consíguelas ya!",1 kg,19900.00/kg
https://www.olimpica.com/papa-medalla-oro-francesa-1000-g-7701008629578-2142591/p,Papa Medalla de Oro a la Francesa 1000 G,11990.0,"Encuentra Papas a la Francesa marca Medalla de Oro x 1Kg. Consigue nuggets, albóndigas, vegetales y más congelados en Oferta por Supermercado Olímpica.",1000 g,11.99/g
https://www.olimpica.com/papa-mc-cain-facil-1-kg-7707203351184-1650663/p,Papa McCain a la Francesa Papa Fácil 1 Kg,16500.0,"Disfruta de Papas McCain a la Francesa 1 Kg, el acompañamiento perfecto para tus comidas. Crujientes y deliciosas, son ideales para cualquier ocasión.",1 kg,16500.00/kg
https://www.olimpica.com/qso-bco-colanta-500-g/p,Queso Colanta Blanco 500 G,16780.0,"Compra queso blanco Colanta x 500g en oferta exclusiva. Ideal para desayunos y meriendas. Consigue leche, mantequilla y más. Aprovecha las ofertas de Olímpica.",500 g,33.56/g
https://www.olimpica.com/quesito-alpina-fresco-blando-375g-7702001133628-2047338/p,Quesito Alpina Fresco Blando 375 G,11350.0,"Disfruta del delicioso Quesito Alpina Fresco Blando 375 G, ideal para untar y realzar tus comidas. Perfecto para compartir momentos especiales.",375 g,30.27/g
https://www.olimpica.com/qso-del--vecch-3-und-210-g/p,Queso butirro Del Vecchio 210gr x 3unds,12890.0,"LACTEOS Y DERIVADOS REFRIGERADOS,QUESOS REFRIGERADOS,FILADOS,RELLENOS,ENTERO",210 gr,61.38/gr
https://www.olimpica.com/qso-medalla-oro-t-mozar-taj-250-g/p,Queso Medalla de Oro Mozzarella Tajado 250 G,11600.0,"Disfruta del delicioso queso medalla de oro mozzarella tajado 250 g, perfecto para tus recetas. Ideal para sándwiches y pizzas. ¡Haz tu compra ahora!",250 g,46.40/g
https://www.olimpica.com/alimento-violife-mozzarella-200g/p,Queso Violife Mozzarella Flavour Vegano Block 200 G,20310.0,"LACTEOS Y DERIVADOS REFRIGERADOS,QUESOS REFRIGERADOS,LIGHT,FRESCOS,ENTERO",200 g,101.55/g
https://www.olimpica.com/azucar-riopaila-blanca-500-gr-7702127107022-798301/p,Azúcar Riopaila Blanca 500 G,11025.0,"Disfruta del sabor y la calidad del Azúcar Riopaila Blanca 500 G, ideal para endulzar tus bebidas y recetas. Perfecto para compartir en familia.",500 g,22.05/g
https://www.olimpica.com/azucar-manuelita-1-kg/p,Azúcar Manuelita 1 Kg,12490.0,"ENDULZANTES,AZUCAR BLANCA,BOLSA,BOLSA,BOLSA",1 kg,12490.00/kg
https://www.olimpica.com/azucar-cauca-1-kg-7702059402028-26770/p,Azúcar Incauca Blanca 1 Kg,44850.0,"Disfruta de Azúcar Incauca Blanca 1 Kg, perfecta para endulzar tus bebidas y postres. Calidad y sabor en cada grano. Ideal para toda la familia.",1 kg,44850.00/kg
https://www.olimpica.com/azucar-mayaguez-bca-2-5kg/p,"Azúcar Mayagüez Blanca 2,5 Kg",10667.0,"Encuentra Azúcar marca Mayaguex 2.5 Kg, blanca especial, sin refinar. Compra panela, stevia y más endulzantes en Supermercado Olímpica.",5 kg,2133.40/kg
https://www.olimpica.com/azucar-blanca-olimpica-2-5-kg/p,"Azúcar Olimpica Blanca 2,5 Kg",10700.0,"ENDULZANTES,AZUCAR-BLANCA,BOLSA,BOLSA,BOLSA",5 kg,2140.00/kg
https://www.olimpica.com/azucar-providen-blanca--2-5-kg-7702104010307-73470/p,"Azúcar Providencia Blanca 2,5 Kg",10560.0,"Aprovecha el Azúcar Providencia Blanca 2,5 Kg, ideal para endulzar tus recetas. Calidad garantizada y un excelente precio. ¡No te lo pierdas!",5 kg,2112.00/kg
