url,nombre,precio,descripcion,unidad,precio_unidad
https://www.plazavea.com.pe/arroz-extra-costeno-bolsa-5kg/p,Arroz Extra COSTEÑO Bolsa 5Kg,26.9,¡Compra Online Arroz Extra COSTEÑO Bolsa 5Kg desde donde estés en plazaVea.com.pe!,5 kg,5.38/kg
https://www.plazavea.com.pe/arroz-extra-vallenorte-bolsa-5kg/p,Arroz Extra Añejo VALLENORTE Gran Reserva Bolsa 5Kg,26.49,¡Compra Online Arroz Extra Añejo VALLENORTE Gran Reserva Bolsa 5Kg desde donde estés en plazaVea.com.pe!,5 kg,5.30/kg
https://www.plazavea.com.pe/arroz-extra-paisana-bolsa-5kg/p,Arroz Extra PAISANA Bolsa 5Kg,4.99,¡Compra Online Arroz Extra PAISANA Bolsa 5Kg desde donde estés en plazaVea.com.pe!,5 kg,1.00/kg
https://www.plazavea.com.pe/arroz-extra-bell-s-bolsa-5kg/p,Arroz Extra BELL'S Bolsa 5Kg,21.0,¡Compra Online Arroz Extra BELL S Bolsa 5Kg desde donde estés en plazaVea.com.pe!,5 kg,4.20/kg
https://www.plazavea.com.pe/arroz-extra-faraon-bolsa-5kg/p,Arroz Extra Añejo FARAON Naranja Bolsa 5kg,4.99,¡Compra Online Arroz Extra FARAON Bolsa 5kg desde donde estés en plazaVea.com.pe!,5 kg,1.00/kg
https://www.plazavea.com.pe/piernas-y-muslos-aderezadas-redondos-oriental-bolsa-780g/p,Piernas y Muslos Aderezo Oriental REDONDOS Bolsa 780g,16.5,¡Compra online Piernas y Muslos Aderezo Oriental REDONDOS Bolsa 780g desde donde estés en plazaVea.com.pe!,780 g,0.02/g
https://www.plazavea.com.pe/filete-de-pechuga-importado-sadia-empaque-1kg/p,Filete de Pechuga Importado SADIA Bolsa 1Kg,4.99,¡Compra online Filete de Pechuga Importado SADIA Bolsa 1Kg desde donde estés en plazaVea.com.pe!,1 kg,4.99/kg
https://www.plazavea.com.pe/muslitos-de-pollo-copacol-bolsa-800g/p,,,"Compra en plazaVea Online y encuentra los mejores precios en Supermercado, Electro, Colchones y más. ¡Ingresa aquí!",,
https://www.plazavea.com.pe/pollo-entero-sin-menudencia-congelado-perdix-1300g/p,Pollo Entero sin Menudencia Congelado PERDIX 1300g,4.99,¡Compra online Pollo Entero sin Menudencia Congelado PERDIX 1300g desde donde estés en plazaVea.com.pe!,1300 g,0.00/g
https://www.plazavea.com.pe/pollo-entero-artisan-libre-de-antibioticos-x-kg/p,Pollo Entero ARTISAN Libre de Antibióticos x kg,4.99,¡Compra online Pollo Entero ARTISAN Libre de Antibióticos x kg desde donde estés en plazaVea.com.pe!,,
https://www.plazavea.com.pe/cafe-instantaneo-nescafe-fina-seleccion-frasco-200g/p,Café Instantáneo NESCAFÉ Fina Selección Frasco 200g,4.99,¡Compra Online Café Instantáneo NESCAFÉ Fina Selección Frasco 200g desde donde estés en plazaVea.com.pe!,200 g,0.02/g
https://www.plazavea.com.pe/cafe-liofilizado-juan-valdez-regular-frasco-190g/p,Café Liofilizado JUAN VALDEZ Regular Frasco 190g,4.99,¡Compra Online Café Liofilizado JUAN VALDEZ Regular Frasco 190g desde donde estés en plazaVea.com.pe!,190 g,0.03/g
