url,nombre,precio,descripcion,unidad,precio_unidad
https://www.unimarc.cl/product/cafe-nescafe-tradicion-lata-170-g,Café Nescafé tradición lata 170 g,4990.0,"Café Nescafé Tradición el café de todos los días, en una cómoda presentación para llevar contigo a todas partes. Formato 170 g.",170 g,29.35/g
https://www.unimarc.cl/product/cafe-molido-italiano-waitrose-227-gr,Café molido Waitrose italiano 227 g,7350.0,Café Waitrose italiano molida. Características: Café grano y molido - Waitrose - Envase doy pack - Formato familiar - Contenido 227 g.,227 g,32.38/g
https://www.unimarc.cl/product/marley-coffee-buffalo-s-organic-227-gr,Café molido orgánico Marley buffalo soldier 227 g,14190.0,"Una mezcla nacida de la naturaleza, que ofrece un aroma y sabor intensos para disfrutar en cualquier momento. Tiene un matiz ahumado y chocolateado. Este es el sabor perfecto para aquellos que buscan un café tostado que les energice durante el día, acompañado de su música favorita. Este envase contiene 227 gramos de café molido.",227 g,62.51/g
https://www.unimarc.cl/product/cafe-haiti-molido-mezcla-super-moka-3-250-g,Café molido Haití mezcla súper moka 250 g,5290.0,"Café de gusto suave y fuertemente aromático producto de una mezcla de cafés provenientes de Colombia, Brasil, Perú y Ecuador. Este café molido ha sido sometido a un proceso de tostado lo que permite obtener un café uniforme y agradable. Características: Café grano y molido - Haití - Envase doy pack - Formato familiar - Contenido 250 g.",250 g,21.16/g
https://www.unimarc.cl/product/cafe-molido-mezcla-excels-250-gr,Café molido D'aroma mezcla excelsor 250 g,5490.0,"Elaborada con la selección y mezcla (blending) de granos de café de variedad arábica, proveniente de distintas haciendas caficultoras de Brasil y Colombia para luego ser tostado en chile por nuestro sistema de tueste al aire el cual retiene todo el aroma del café.100% arábica. Mezcla de variedades arábicas. Cultivado en Brasil y Colombia. Tostado y mezclado en chile. Características: Café grano y molido - Excels - Envase doy pack - Formato familiar - Contenido 250 g.",250 g,21.96/g
https://www.unimarc.cl/product/papas-malla-2-kg,Papas malla 2 Kg,2190.0,"Las papas tienen grandes propiedades curativas, en la medicina china tradicional, utilizan las papas como un alimento con gran poder curativo.Entre sus principales propiedades se encuentran:Protege de enfermedades relacionadas con el páncreas,Trata la debilidad, fatiga, y falta de energía,Da energía al cuerpo,Calma el estómago,Lubrica los intestinos,Promueve los movimientos intestinales.",2 kg,1095.00/kg
https://www.unimarc.cl/product/papa-granel-kg,Papas granel 500 g,695.0,"Papas, granel 500 g",500 g,1.39/g
https://www.unimarc.cl/product/papas-huertos-del-ranco-malla-1-3kg,Papas Huertos del Ranco malla 1.3 Kg,1390.0,"Papas Huertos del Ranco, malla 1.3 Kg",1.3 kg,1069.23/kg
https://www.unimarc.cl/product/pan-molde-integral-xl-castano-700gr,,,,,
https://www.unimarc.cl/product/pan-molde-blanco-grande-ideal-750-g,Pan molde Ideal blanco grande XL bolsa 750 g,2950.0,"Pan De Molde Blanco Grande, Con Un 30 % Más De Rebanadas. Producto certificado Kosher.Características: Pan molde y pita - Ideal - Sin sellos - Envase bolsa - Formato familiar - Contenido 752 g.",750 g,3.93/g
https://www.unimarc.cl/product/pan-molde-integral-cena-xl-750g,Pan de molde integral XL Cena 750 g,2750.0,"Pan fibra familiar, pan blanco con salvado.",750 g,3.67/g
https://www.unimarc.cl/product/pan-molde-integral-stuttgart-fuchs-650-g,Pan molde Fuchs integral con masa madre bolsa 650 g,2688.0,Pan molde Fuchs integral con masa madre bolsa 650 g,650 g,4.14/g
https://www.unimarc.cl/product/pan-de-molde-blanco-xl-amada-masa-750-gr,Pan de molde blanco XL Amada Masa 750 g,2510.0,Pan de molde Amada Masa blanco XL 750 g,750 g,3.35/g
https://www.unimarc.cl/product/beb-coca-cola-1-5-l-no-retor-3,Bebida Coca Cola original 1.5 L,2090.0,"Coca-Cola, chispeante y refrescante, es una bebida magnífica para mantener la energía y combatir el calor. El refresco de cola, es un gran complemento para cualquier ocasión tanto si estás trabajando o en un picnic. 
Características: Bebidas regulares - Coca Cola - Alto en azúcares - Envase botella - Formato familiar - Contenido 1.5 L.",1.5 l,1393.33/l
https://www.unimarc.cl/product/pepsi-desechable-15-l,Bebida Pepsi no retornable 1.5 L,2030.0,"Bebida gaseosa de fantasía azucarada. Contiene cafeína. 
Características: Bebidas regulares - Pepsi - Alto en azúcares - Envase botella - Formato familiar - Contenido 1.5 L.",1.5 l,1353.33/l
https://www.unimarc.cl/product/ginger-ale-canada-dry-desechable-1-5-lt,Bebida Canada Dry ginger ale no retornable 1.5 L,2030.0,"Si quieres disfrutar de una bebida que te refresque y a la vez te quite la sed, tienes que elegir Canada Dry Ginger ale. 
Características: Bebidas regulares - Canda Dry - Alto en azúcares - Envase botella - Formato familiar - Contenido 1.5 L.",1.5 l,1353.33/l
https://www.unimarc.cl/product/kem-pina-desechable-1-5-lt,Bebida Kem piña no retornable 1.5 L,2030.0,"Bebida gaseosa de fantasía sabor piña. 
Características: Bebidas regulares - Kem piña - Alto en azúcares - Envase botella - Formato familiar - Contenido 1.5 L.",1.5 l,1353.33/l
https://www.unimarc.cl/product/bebida-piri-cola-zero-2-l,Bebida Piri cola zero 2 L,990.0,"Bebida Piri cola zero, 2 L",2 l,495.00/l
https://www.unimarc.cl/product/tomate-1-kg-5-u-aprox,Tomate larga vida granel 500 g,1145.0,"El tomate es rico en vitaminas y minerales: esta hortaliza aporta vitamina C, un potente antioxidante natural, además de vitamina A, K, hierro y potasio.",500 g,2.29/g
https://www.unimarc.cl/product/tomate-malla-1-kg,Tomate malla 1 Kg,2250.0,Tomate malla 1 Kg,1 kg,2250.00/kg
https://www.unimarc.cl/product/tomate-regy-agricola-ramos-300-gr,Tomate regy Agrícola Ramos 300 g,1990.0,Tomate regy Agrícola Ramos 300 g,300 g,6.63/g
https://www.unimarc.cl/product/tomate-snacky-pote-250-gr,Tomate dulce Snacky pote 250 g,1250.0,Tomate dulce Snacky pote 250 g,250 g,5.00/g
https://www.unimarc.cl/product/huevo-grande-color-nuestra-cocina-12-un,Huevos Nuestra Cocina grande color 12 un,3970.0,Huevos Nuestra Cocina grande color 12 un,,
https://www.unimarc.cl/product/huevos-yemita-grande-blanco-12-u,Huevos grande blanco Yemita 12 un,4090.0,"Los huevos Yemita son un alimento completo y nutritivo que aporta alto contenido de proteínas y vitaminas;este tipo de alimento es esencial en la alimentación humana para el crecimiento, desarrollo y buena salud. 
Características: Huevos gallina - Yemita - Gallina normal - Tipo blanco - Contenido 12 unidades.",12 unidades,340.83/unidades
https://www.unimarc.cl/product/huevo-extra-color-santa-marta-20-un,Huevo extra color Santa Marta 20 un,6590.0,Huevo extra color Santa Marta 20 un,,
https://www.unimarc.cl/product/huevo-grande-color-santa-elvira-12-un,Huevos Santa Elvira grande color 12 un,3970.0,Huevos Santa Elvira grande color 12 un,,
https://www.unimarc.cl/product/huevo-grande-color-la-granja-12-un,Huevo grande color La Granja 12 un,5190.0,"Los huevos la granja son de gallinas Libre de Jaula o ?Cage Free? las gallinas viven en galpones 100% libres de jaulas, donde pueden desarrollar comportamientos naturales como perchar, anidar, aletear y socializar con otras gallinas, en un ambiente seguro y protegido. 
Características: Huevos gallina - La Granja - Gallina normal - Tipo color - Contenido 12 unidades.",12 unidades,432.50/unidades
https://www.unimarc.cl/product/pollo-entero-c-menudencia-ariztia-1-8-a-2-2kg,Pollo entero Ariztía con menudencias (1.5 a 2.5 Kg),9975.0,"Pollo Entero con menudencia Ariztía. Los precios de los productos son por kilo y el peso indicado es aproximado, por lo que en su boleta se cobrará el peso y valor exacto. Producto sin gluten certificado por fundación convivir.",2.5 kg,3990.00/kg
https://www.unimarc.cl/product/pollo-entero-super-pollo-con-menudencias-3-kg,Pollo entero Super Pollo con menudencias 3 Kg,11970.0,Pollo entero Super Pollo con menudencias 3 Kg,3 kg,3990.00/kg
